Código ATICA,Tienda,Código EST,Sección,Demarca Controlada,Demarca Incontrolada
007G,Rincón de la Victoria,8313,10,107.54,98.05
007G,Rincón de la Victoria,8313,11,66.56,86.99
007G,Rincón de la Victoria,8313,14,456.71,170.24
007G,Rincón de la Victoria,8313,15,635.03,96.07
007G,Rincón de la Victoria,8313,20,66.09,20.89
007G,Rincón de la Victoria,8313,21,35.69,2.21
007G,Rincón de la Victoria,8313,22,356.51,50.75
007G,Rincón de la Victoria,8313,23,272.64,57.70
007G,Rincón de la Victoria,8313,24,18.58,34.50
007G,Rincón de la Victoria,8313,26,10.11,2.00
007G,Rincón de la Victoria,8313,30,0.00,0.00
007G,Rincón de la Victoria,8313,31,54.82,0.00
007G,Rincón de la Victoria,8313,32,4.35,0.00
007G,Rincón de la Victoria,8313,33,0.00,0.00
007G,Rincón de la Victoria,8313,34,20.28,0.00
007G,Rincón de la Victoria,8313,35,0.00,0.00
007G,Rincón de la Victoria,8313,45,0.00,0.00
007G,Rincón de la Victoria,8313,67,0.00,0.00
00HI,Av Zarauz 88,8266,10,159.99,75.22
00HI,Av Zarauz 88,8266,11,0.00,89.00
00HI,Av Zarauz 88,8266,14,16.66,225.06
00HI,Av Zarauz 88,8266,15,162.39,131.13
00HI,Av Zarauz 88,8266,20,11.28,21.96
00HI,Av Zarauz 88,8266,21,8.76,9.86
00HI,Av Zarauz 88,8266,22,636.51,201.28
00HI,Av Zarauz 88,8266,23,0.00,157.40
00HI,Av Zarauz 88,8266,24,41.60,117.82
00HI,Av Zarauz 88,8266,26,0.00,8.35
00HI,Av Zarauz 88,8266,30,0.00,0.00
00HI,Av Zarauz 88,8266,31,0.00,0.00
00HI,Av Zarauz 88,8266,33,0.00,0.00
00HI,Av Zarauz 88,8266,34,0.00,0.00
00RG,Lierganes,8181,10,14.21,41.34
00RG,Lierganes,8181,11,20.85,33.38
00RG,Lierganes,8181,14,77.73,91.48
00RG,Lierganes,8181,15,663.25,64.81
00RG,Lierganes,8181,20,37.97,16.27
00RG,Lierganes,8181,21,12.41,2.99
00RG,Lierganes,8181,22,197.75,45.94
00RG,Lierganes,8181,23,277.51,42.92
00RG,Lierganes,8181,24,195.75,8.03
00RG,Lierganes,8181,26,260.48,4.39
00RG,Lierganes,8181,30,0.00,0.00
00RG,Lierganes,8181,31,8.63,0.00
00RG,Lierganes,8181,32,0.00,0.00
00RG,Lierganes,8181,33,0.00,0.00
00RG,Lierganes,8181,34,0.54,0.00
00RG,Lierganes,8181,45,0.00,0.00
00TE,"Calle Sauceda, 5",8224,10,135.28,62.45
00TE,"Calle Sauceda, 5",8224,11,42.14,64.25
00TE,"Calle Sauceda, 5",8224,14,140.52,116.14
00TE,"Calle Sauceda, 5",8224,15,563.94,75.55
00TE,"Calle Sauceda, 5",8224,20,161.44,19.11
00TE,"Calle Sauceda, 5",8224,21,5.56,0.95
00TE,"Calle Sauceda, 5",8224,22,335.82,67.28
00TE,"Calle Sauceda, 5",8224,23,450.10,92.18
00TE,"Calle Sauceda, 5",8224,24,238.90,5.79
00TE,"Calle Sauceda, 5",8224,26,71.92,14.37
00TE,"Calle Sauceda, 5",8224,30,0.00,0.00
00TE,"Calle Sauceda, 5",8224,31,13.03,0.00
00TE,"Calle Sauceda, 5",8224,32,0.00,0.00
00TE,"Calle Sauceda, 5",8224,33,0.00,0.00
00TE,"Calle Sauceda, 5",8224,34,0.00,0.00
00TE,"Calle Sauceda, 5",8224,45,0.00,0.00
4186,Calle Arriba nº 4,4272,10,44.95,48.60
4186,Calle Arriba nº 4,4272,11,46.71,40.46
4186,Calle Arriba nº 4,4272,14,91.99,86.06
4186,Calle Arriba nº 4,4272,15,357.36,50.16
4186,Calle Arriba nº 4,4272,20,14.18,8.67
4186,Calle Arriba nº 4,4272,21,34.93,1.15
4186,Calle Arriba nº 4,4272,22,151.29,22.35
4186,Calle Arriba nº 4,4272,23,117.88,56.80
4186,Calle Arriba nº 4,4272,24,58.46,5.23
4186,Calle Arriba nº 4,4272,26,19.97,1.96
4186,Calle Arriba nº 4,4272,30,0.00,0.00
4186,Calle Arriba nº 4,4272,31,3.50,0.00
