ATICA,EST,TIENDA,Margen Gestión,Ventas,Compras
007G,8313,Rincón de la Victoria,30952.50,1306.48,122515.98
008R,8322,Rualasal 2,0.00,0.00,0.00
00HI,8266,Av Zarauz 88,58866.29,22550.48,222951.72
00JD,8047,C.Marina,0.00,0.00,0.00
00NY,8134,C. Nicolás Salmerón 14,0.00,0.00,0.00
00QE,8160,Alcoy,0.00,0.00,0.00
00RG,8181,Lierganes,17832.99,0.00,72456.55
00SY,8215,Francesc Lairet,0.00,0.00,0.00
00TE,8224,"Calle Sauceda, 5",25163.01,518.89,96496.76
00UU,8258,Mallorca 307,0.00,0.00,0.00
4061,4166,Alhaurin el grande,0.00,0.00,0.00
4171,4259,Calle Puertas de Murcia,0.00,0.00,0.00
4173,4260,Antonio López 3,0.00,0.00,0.00
4186,4272,Calle Arriba nº 4,14451.45,43.44,65183.63
4204,4284,"Puente Arce,2",17575.80,5.95,43641.24
4234,4313,Calle Damian Tellez Lafuente,22522.71,0.60,83523.21
4237,4316,San Adriá del Besos,0.00,0.00,0.00
4238,4317,Torrent de L'Olla,18443.05,11549.80,67898.81
4260,4337,Castillejos,0.00,0.00,0.00
4261,4338,"Avda. de los Castros, 79",22560.76,0.00,86345.34
4273,4346,Juan Álvarez Mendizabal 3,0.00,0.00,0.00
4280,4353,Marti I Pujol 2,0.00,0.00,0.00
4342,4394,LEIOA - AVDA. IPARRAGUIRR,22059.69,0.00,88644.88
4343,4395,Font De En Canyelles,0.00,0.00,0.00
4350,4402,Terrasa 2,0.00,0.00,0.00
4436,4455,Plaza Maestro Haedo,0.00,0.00,0.00
4460,4469,"Calle Quart, 68",0.00,0.00,0.00
4488,4484,"Caponata, 10",0.00,0.00,0.00
4499,4491,"C/ Francisco Vaca Morales, nº 8",18765.64,111.58,83677.69
4504,4496,Calamonte,0.00,0.00,0.00
4541,4525,Avda de Pardaleras nº 2,19638.88,96.04,83076.61
4554,4533,"Plaza del Ángel, 11",24389.12,2234.33,90311.97
4555,4534,Portugalete,0.00,0.00,0.00
4558,4536,Plaza del textil,0.00,0.00,0.00
4560,4537,Humilladero,0.00,0.00,0.00
4561,4538,Juan Sebastián el Cano,16223.70,0.00,66258.23
4587,4549,Plaza Huerto Sogueros,0.00,0.00,0.00
4592,4554,Santa Engracia 2,0.00,0.00,0.00
4598,4559,Plaza Conde Torre del Fresno nº2,25065.97,2.06,103191.58
4606,4566,Avd Villanueva,0.00,0.00,0.00
4645,4596,Valencia Músico Peydró,0.00,0.00,0.00
4661,4608,Marqués de Montroig 3,0.00,0.00,0.00
4666,4610,Santa Coloma 2,16314.27,12341.01,67176.85
4698,4635,Julian Gayarre 2,0.00,0.00,0.00
4699,4636,Kareaga Goikoa 2,0.00,0.00,0.00
4717,4649,Fernando el Católico 3,0.00,0.00,0.00
4720,4652,Plaza San Miguel 5,0.00,0.00,0.00
4722,4654,Ruzafa 3,0.00,0.00,0.00
4745,4672,Gremi Tintorers 4,31578.32,392.69,126183.05
4761,4687,Arzobispo Guisasola 42,24194.68,924.90,94801.92
4802,4717,Shultz 2,32181.52,414.61,128900.49
4811,4724,San Miguel 3,0.00,0.00,0.00
4812,4725,Calle Aragon 52,0.00,0.00,0.00
4827,4736,L'or 48,7786.96,5132.39,30464.44
4830,4739,"Ctra Castralvo2 ,3 (Teruel)",0.00,0.00,0.00
4831,4740,Marqués de Montroig 4,0.00,0.00,0.00
4860,4766,Plaza San Julian,0.00,0.00,0.00
4879,4783,Calle Puente y Pellón 2,0.00,0.00,0.00
4884,4787,Plaza Bailen 10,0.00,0.00,0.00
4903,4804,"Calle Cardenal Cervantes, 12",17277.62,1346.02,68094.92
4928,4828,Plaza Redonda 3,0.00,0.00,0.00
4940,4840,Plaza San Salvador,0.00,0.00,0.00
4943,4843,Avda Constitución Alcobendas,30269.05,826.20,133302.26
4957,4857,Gallarta 2,0.00,0.00,0.00
4958,4858,"Calle Real, 74",0.00,0.00,0.00
4960,4860,Orihuela Gustavo,0.00,0.00,0.00
4975,4872,"Calderón de la Barca 2, 8",17745.54,1877.16,71104.98
5005,4894,"Av del Racó, 14",0.00,0.00,0.00
5008,4897,Calle de la Ronda 32,29083.52,1.50,117228.24
5015,4904,Calle Amadeo de Saboya 2,0.00,0.00,0.00
5025,4910,Calle Santa Lucia,0.00,0.00,0.00
5030,4914,"Calle Cultura, 1",0.00,0.00,0.00
5070,4950,"Calle Sector Escultores,1",0.00,0.00,0.00
5073,4952,Guillermo Tell 16,0.00,0.00,0.00
5082,4960,Lopez Mateo 11,26943.72,6749.08,115641.73
5103,4979,Corcega 388,18687.84,11758.09,70610.21
5130,5004,Fernando el Católico 3,0.00,0.00,0.00
5169,5054,"AV President Companys, 72",26416.70,9516.57,108141.89
5170,5055,"Avda Las Negras, 46",0.00,0.00,0.00
5235,5068,"Avda Maria Ros, 11",0.00,0.00,0.00
5247,5076,"Calle de Riboberta Menchu, 7",0.00,0.00,0.00
5248,5077,"Paseo General Davila, 306",24320.00,0.00,97034.59
5250,5079,Calle Antonio Machado 19,0.00,0.00,0.00
5262,5090,"Ramon Jara, 31",19505.96,9350.98,86315.38
5265,5093,"Av. Ancares 10, Bajos",25893.61,11311.58,105584.28
5273,5099,"Poeta Paco Aquino, 23",33739.17,152.00,135478.99
5285,5108,"Plaza Progreso, 2",0.00,0.00,0.00
5286,5109,"Calle San Antonio, 55",19230.95,166.66,81533.96
5291,5112,"Calle Vista Alegre, 76",0.00,0.00,0.00
5316,5134,"Avda San Francisco, 37",0.00,0.00,0.00
5339,5151,Calle San Antoni Abad 6-8,0.00,0.00,0.00
5381,5161,"Av. Pais Valencia, 22",57201.44,40088.09,187180.96
5409,5164,Plaza del textil,0.00,0.00,0.00
5417,5166,"Ctra General 2, El crucero",21884.11,1947.76,86501.99
5419,5167,"Calle Villajoyoya, 87",21999.25,88.62,94852.31
5451,5173,"Avda, Cardenal Benlloch, 19",0.00,0.00,0.00
5489,5186,Avda. Manuel Candela 56,24367.53,1542.85,103293.77
5490,5187,"Calle Aguado, 29",25574.10,122.06,97868.35
5495,5192,"Calle Igualdad, 12",0.00,0.00,0.00
5505,5197,"Calle Francesc Artau, 2",-4240.72,4256.43,83182.41
5520,5201,"C/ Cervantes, 89-91",37923.15,968.50,146082.35
5522,5203,"Marques de Valdavia, 33",0.00,0.00,0.00
5535,5206,"Calle de la Ginesta, 3",0.00,0.00,0.00
5542,5213,Calle Donantes de Sangre 21,15602.18,776.30,68201.25
5569,5237,"Calle Gerona, 15",21191.80,445.55,83771.99
5570,5238,Calle Juan Fernandez,0.00,0.00,0.00
5571,5239,Calle Marques de San Esteban 12,18182.90,521.08,69287.81
5581,5247,"Calle Cardenal Benlloch, 3",0.00,0.00,0.00
5582,5248,"Calle Rey Jaime I, 23",0.00,0.00,0.00
5583,5249,"Avda Rei en Jaume, 16",0.00,0.00,0.00
5584,5250,"Plaza Cervantes, 11",0.00,0.00,0.00
5605,5269,"Plaza Mayor, 1",0.00,0.00,0.00
5626,5286,AV DE ANDALUCIA 10,17543.47,2124.08,71686.31
5628,5288,"Calle Mayor, 15",0.00,0.00,0.00
5644,5302,Plaza de la Merced,63454.66,19569.11,237067.72
5660,5315,Francesc layret 128,25256.19,9254.32,104202.26
5662,5317,"Calle Marques de Najera, 1",0.00,0.00,0.00
5667,5322,Calle Santa Engracia 115,27264.76,56.03,103632.47
5682,5336,PASEO BEGOÑA 5,0.00,0.00,0.00
5685,5339,Av. Cubila 1-3,0.00,0.00,0.00
5720,5368,AVENIDA CABO DE GATA 86,21890.96,283.21,88340.01
5722,5370,Calle Caravel.la S/N,14466.13,899.64,52332.42
5726,5374,"Calle Estepona 2, (Plaza de la Iglesia 1)",19938.25,74.13,75918.80
5731,5379,"Calle Marqués de la Hermida, 14,",16728.79,0.01,64528.12
5743,5389,"C/ Narcís Monturiol,72-74",32467.11,4034.07,133947.74
5745,5391,"LOPE DE RUEDA, 43",0.00,0.00,0.00
5747,5393,"C/ Rufaza, nº52",0.00,0.00,0.00
5748,5394,CALLE RAMON Y CAJAL 48,31677.90,0.00,127738.17
5756,5401,CALLE ACERA DEL DARRO 74,0.00,0.00,0.00
5757,5402,"Camí Ral, 156",7727.81,1262.53,28682.32
5758,5403,"CALLE ALMIRANTE CADARSO, 35",0.00,0.00,0.00
5759,5404,"AVENIDA ESPANYA, 77",0.00,0.00,0.00
5764,5409,"AV. JUAN CARLOS I, 12",19893.52,0.00,79580.32
5769,5414,"C/ MANEL FARRES, 105",0.00,0.00,0.00
5777,5421,"CARDENAL BENLLOCH, 3",0.00,0.00,0.00
5783,5427,AV VILLANUEVA 7,0.00,0.00,0.00
5786,5430,"AV PICASSO, 2",37912.98,623.92,127310.28
5787,5431,PLAZA DOÑA AMPARO GUERRERO 3,0.00,0.00,0.00
5789,5433,"Avda. Rei En Jaume, 16",0.00,0.00,0.00
5790,5434,"C/ JOAN ALCOVER, 59",0.00,0.00,0.00
5793,5437,"Av. Garraf,63",20968.32,1004.94,98452.85
5798,5442,"Rey Jaime I, 23.",0.00,0.00,0.00
5799,5443,"C/ Joan Maragall,29",8983.20,3607.63,40166.61
5806,5450,Barrio Nuevo 8,0.00,0.00,0.00
5807,5451,"Plaza Mayor, 1",0.00,0.00,0.00
5808,5452,AV. MARIA ROS 11,0.00,0.00,0.00
5812,5456,"C/ AUGUSTO SUARES DE FIGUEROA, 6",24319.25,460.25,97980.48
5813,5457,"C/ OMS, 35",42288.25,2460.11,124682.42
5822,5465,CALLE PLAZA DE BOUS 51,0.00,0.00,0.00
5825,5468,PLAZA PAZ 8,19505.25,358.15,74710.14
5830,5469,"Calle Señorio de Bizkaia, 28",0.00,0.00,0.00
5833,5471,"CALLE PILOÑA, 31",10446.28,858.43,39209.22
5849,5481,"Barrio La Rañada 14, Urbanización Montesol, Bloque 3 Local 9",14650.65,406.38,61574.06
5858,5484,C/ ARNAU D'OMS 29,9443.03,202.32,42147.86
5901,5501,"Av. Del Puerto, 3",11120.18,298.14,44080.77
5910,5509,Plaza Rafael Mingarro,17643.97,23.22,69611.00
5914,5513,"Av. Galicia, 7",152114.50,0.00,98254.85
5918,5517,Camino Cabueñes 24,17359.30,457.39,65596.26
5921,5520,C/ Doctor Severo Ochoa 9,17728.65,0.00,74096.68
5936,5533,"Plaza Mikel Deuna, 1",17918.22,1824.84,75473.37
5939,5536,"Avda Martí Pujol, 27",41788.64,25052.23,152011.59
5950,5545,Sector Escultores nº1,3383.23,3501.94,15467.70
5961,5556,Calle Agustina de Aragón 2,0.00,0.00,0.00
5964,5559,"RAMBLA SANT JORDI, 7",26677.01,11234.98,96984.86
5965,5560,"CALLE FERNANDO CASANOVA BENLLOCH, 8",16981.14,292.35,64035.91
