codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),187180.96
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"17.046,74"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"8.578,24"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"32.441,64"
,7000015.0,VENTAS MERCANCIAS SEC15,"30.135,16"
,7000020.0,VENTAS MERCANCIAS SEC20,"13.445,83"
,7000021.0,VENTAS MERCANCIAS SEC21,"5.112,24"
,7000022.0,VENTAS MERCANCIAS SEC22,"20.804,81"
,7000023.0,VENTAS MERCANCIAS SEC23,"9.472,65"
,7000024.0,VENTAS MERCANCIAS SEC24,"29.790,20"
,7000026.0,VENTAS MERCANCIAS SEC26,"137,47"
,7000030.0,VENTAS MERCANCIAS SEC30,"3.448,83"
,7000040.0,VENTAS MERCANCIAS SEC40,"126,36"
,7000060.0,VENTAS MERCANCIAS SEC60,"0,00"
,7080010.0,DEVOLUCION VENTAS SEC10,"-2,14"
,7080011.0,DEVOLUCION VENTAS SEC11,"-15,03"
,7080014.0,DEVOLUCION VENTAS SEC14,"-43,32"
,7080015.0,DEVOLUCION VENTAS SEC15,"-23,04"
,7080020.0,DEVOLUCION VENTAS SEC20,"0,00"
,7080021.0,DEVOLUCION VENTAS SEC21,"0,00"
,7080022.0,DEVOLUCION VENTAS SEC22,"0,00"
,7080023.0,DEVOLUCION VENTAS SEC23,"-10,90"
,7080024.0,DEVOLUCION VENTAS SEC24,"-11,66"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"-24,59"
,7080040.0,DEVOLUCION VENTAS SEC40,"0,00"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,89826.86
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"16.607,30"
,6000011.0,COMPRAS MERCANCIAS SEC11,"7.092,49"
,6000014.0,COMPRAS ALIMENTACION SECA,"21.533,40"
,6000015.0,COMPRAS PLS,"22.625,66"
,6000020.0,COMPRAS MERCANCIAS SEC20,"3.116,68"
,6000021.0,COMPRAS MERCANCIAS SEC21,"2.387,37"
,6000022.0,COMPRAS MERCANCIAS SEC22,"6.452,59"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"4.417,70"
,6000024.0,COMPRAS MERCANCIAS SEC24,"4.246,79"
,6000026.0,COMPRAS MERCANCIAS SEC26,"97,75"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"2.178,34"
,6000040.0,COMPRAS MERCANCIAS SEC40,"158,61"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"0,00"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"0,00"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"-188,35"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-45,94"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"0,00"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"0,00"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"0,00"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
