codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),85694.41
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"14.967,03"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"5.398,68"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"18.682,87"
,7000015.0,VENTAS MERCANCIAS SEC15,"17.850,32"
,7000020.0,VENTAS MERCANCIAS SEC20,"2.620,90"
,7000021.0,VENTAS MERCANCIAS SEC21,"410,92"
,7000022.0,VENTAS MERCANCIAS SEC22,"6.508,87"
,7000023.0,VENTAS MERCANCIAS SEC23,"4.083,02"
,7000024.0,VENTAS MERCANCIAS SEC24,"3.941,44"
,7000026.0,VENTAS MERCANCIAS SEC26,"1.064,89"
,7000030.0,VENTAS MERCANCIAS SEC30,"1.845,61"
,7000040.0,VENTAS MERCANCIAS SEC40,"20,66"
,7000060.0,VENTAS MERCANCIAS SEC60,"80,84"
,7080010.0,DEVOLUCION VENTAS SEC10,"-66,26"
,7080011.0,DEVOLUCION VENTAS SEC11,"-40,66"
,7080014.0,DEVOLUCION VENTAS SEC14,"-65,53"
,7080015.0,DEVOLUCION VENTAS SEC15,"-71,30"
,7080020.0,DEVOLUCION VENTAS SEC20,"-17,71"
,7080021.0,DEVOLUCION VENTAS SEC21,"-1,35"
,7080022.0,DEVOLUCION VENTAS SEC22,"-36,25"
,7080023.0,DEVOLUCION VENTAS SEC23,"-4,65"
,7080024.0,DEVOLUCION VENTAS SEC24,"-4,52"
,7080026.0,DEVOLUCION VENTAS SEC26,"-6,36"
,7080030.0,DEVOLUCION VENTAS SEC30,"-7,52"
,7080040.0,DEVOLUCION VENTAS SEC40,"0,00"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,24895.92
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"12.336,97"
,6000011.0,COMPRAS MERCANCIAS SEC11,"3.919,65"
,6000014.0,COMPRAS ALIMENTACION SECA,"14.198,25"
,6000015.0,COMPRAS PLS,"14.400,10"
,6000020.0,COMPRAS MERCANCIAS SEC20,"1.881,27"
,6000021.0,COMPRAS MERCANCIAS SEC21,"213,87"
,6000022.0,COMPRAS MERCANCIAS SEC22,"5.561,86"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"3.328,87"
,6000024.0,COMPRAS MERCANCIAS SEC24,"1.942,07"
,6000026.0,COMPRAS MERCANCIAS SEC26,"818,42"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"1.898,21"
,6000040.0,COMPRAS MERCANCIAS SEC40,"19,86"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"-70,26"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"-16,68"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"-155,72"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-244,10"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"-25,88"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"-785,18"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"0,00"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
,6080030.0,NC DEVOLUCION/NC_FACTURA CFR30,"0,00"
,6080040.0,NC DEVOLUCION/NC_FACTURA CFR40,"0,00"
,6080060.0,NC DEVOLUCION/NC_FACTURA CFR60,"0,00"
,6000000.0,nan,"0,00"
6000121.0,6000124.0,COMPRAS MOSTRADOR,"0,00"
,,COMPRAS MOSTRADOR,
,,nan,
,,Otras Compras,
,,Variación de Existencias,
,6100000.0,VARIACION DE EXISTENCIAS MERCADERIAS,"0,00"
,6100001.0,nan,"0,00"
,6100002.0,nan,"0,00"
,6100003.0,EXISTENCIAS PROV LOCALES,"0,00"
6100006.0,6100004.0,nan,"0,00"
,6100010.0,VARIACION EXISTENCIAS SEC10,"0,00"
6100013.0,6100011.0,VARIACION EXISTENCIAS SEC11,"0,00"
,6100014.0,VARIACION EXISTENCIAS SEC14,"0,00"
,6100015.0,VARIACION EXISTENCIAS SEC15,"0,00"
,6100020.0,VARIACION EXISTENCIAS SEC20,"0,00"
,6100021.0,VARIACION EXISTENCIAS PESCADER,"0,00"
,6100022.0,VARIACION EXISTENCIAS SEC22,"0,00"
,6100023.0,VARIACION EXISTENCIAS SEC23,"0,00"
,6100024.0,VARIACION EXISTENCIAS CARNICER,"0,00"
,6100026.0,VARIACION EXISTENCIAS SNACK-BA,"0,00"
,6100030.0,VARIACION EXISTENCIAS SEC30,"0,00"
,6100040.0,VARIACION EXISTENCIAS SEC40,"0,00"
,6100060.0,VARIACION EXISTENCIAS SEC60,"0,00"
,,nan,
,,MARGEN CAJA,20123.8
,,DEMARCAS,
,,Demarca Controlada,
,6100210.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA10,211.9
,6100211.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA11,23.58
,6100214.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA14,238.79
,6100215.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA15,20.73
,6100220.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA20,117.29
,6100221.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA21,109.37
,6100222.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA22,145.34
,6100223.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA23,77.02
,6100224.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA24,41.14
,6100226.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA26,249.91
,6100230.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA30,0.0
,6100240.0,VARIACION EXISTENCIAS DEMARCA CONTROLADA40,"0,00"
