codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),124682.42
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"24.696,93"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"7.353,43"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"28.366,32"
,7000015.0,VENTAS MERCANCIAS SEC15,"22.519,22"
,7000020.0,VENTAS MERCANCIAS SEC20,"4.251,58"
,7000021.0,VENTAS MERCANCIAS SEC21,"463,03"
,7000022.0,VENTAS MERCANCIAS SEC22,"11.854,54"
,7000023.0,VENTAS MERCANCIAS SEC23,"5.708,64"
,7000024.0,VENTAS MERCANCIAS SEC24,"5.992,21"
,7000026.0,VENTAS MERCANCIAS SEC26,"944,43"
,7000030.0,VENTAS MERCANCIAS SEC30,"2.819,09"
,7000040.0,VENTAS MERCANCIAS SEC40,"61,98"
,7000060.0,VENTAS MERCANCIAS SEC60,"4,93"
,7080010.0,DEVOLUCION VENTAS SEC10,"-1.222,91"
,7080011.0,DEVOLUCION VENTAS SEC11,"-105,86"
,7080014.0,DEVOLUCION VENTAS SEC14,"-260,97"
,7080015.0,DEVOLUCION VENTAS SEC15,"-325,44"
,7080020.0,DEVOLUCION VENTAS SEC20,"-1,95"
,7080021.0,DEVOLUCION VENTAS SEC21,"0,00"
,7080022.0,DEVOLUCION VENTAS SEC22,"-254,24"
,7080023.0,DEVOLUCION VENTAS SEC23,"-96,54"
,7080024.0,DEVOLUCION VENTAS SEC24,"-223,64"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"-140,25"
,7080040.0,DEVOLUCION VENTAS SEC40,"0,00"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,70448.42
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"15.157,34"
,6000011.0,COMPRAS MERCANCIAS SEC11,"4.720,96"
,6000014.0,COMPRAS ALIMENTACION SECA,"17.314,22"
,6000015.0,COMPRAS PLS,"14.553,70"
,6000020.0,COMPRAS MERCANCIAS SEC20,"2.698,34"
,6000021.0,COMPRAS MERCANCIAS SEC21,"298,61"
,6000022.0,COMPRAS MERCANCIAS SEC22,"8.932,20"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"2.909,58"
,6000024.0,COMPRAS MERCANCIAS SEC24,"1.608,72"
,6000026.0,COMPRAS MERCANCIAS SEC26,"668,59"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"1.934,21"
,6000040.0,COMPRAS MERCANCIAS SEC40,"59,52"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"0,00"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"0,00"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"-1,42"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-221,60"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"0,00"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"0,00"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"0,00"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
,6080030.0,NC DEVOLUCION/NC_FACTURA CFR30,"0,00"
,6080040.0,NC DEVOLUCION/NC_FACTURA CFR40,"0,00"
,6080060.0,NC DEVOLUCION/NC_FACTURA CFR60,"0,00"
,6000000.0,nan,"0,00"
