codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),110429.31
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"16.931,65"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"9.326,01"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"22.607,74"
,7000015.0,VENTAS MERCANCIAS SEC15,"20.868,45"
,7000020.0,VENTAS MERCANCIAS SEC20,"3.697,16"
,7000021.0,VENTAS MERCANCIAS SEC21,"847,77"
,7000022.0,VENTAS MERCANCIAS SEC22,"12.216,02"
,7000023.0,VENTAS MERCANCIAS SEC23,"5.362,78"
,7000024.0,VENTAS MERCANCIAS SEC24,"3.910,41"
,7000026.0,VENTAS MERCANCIAS SEC26,"1.243,00"
,7000030.0,VENTAS MERCANCIAS SEC30,"2.520,08"
,7000040.0,VENTAS MERCANCIAS SEC40,"264,46"
,7000060.0,VENTAS MERCANCIAS SEC60,"28,07"
,7080010.0,DEVOLUCION VENTAS SEC10,"-141,63"
,7080011.0,DEVOLUCION VENTAS SEC11,"-23,36"
,7080014.0,DEVOLUCION VENTAS SEC14,"-21,00"
,7080015.0,DEVOLUCION VENTAS SEC15,"-69,33"
,7080020.0,DEVOLUCION VENTAS SEC20,"-17,09"
,7080021.0,DEVOLUCION VENTAS SEC21,"-25,50"
,7080022.0,DEVOLUCION VENTAS SEC22,"-38,00"
,7080023.0,DEVOLUCION VENTAS SEC23,"-0,63"
,7080024.0,DEVOLUCION VENTAS SEC24,"-25,31"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"0,00"
,7080040.0,DEVOLUCION VENTAS SEC40,"-8,26"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,66918.21
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"11.402,68"
,6000011.0,COMPRAS MERCANCIAS SEC11,"5.352,92"
,6000014.0,COMPRAS ALIMENTACION SECA,"13.044,23"
,6000015.0,COMPRAS PLS,"16.231,48"
