codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),95526.57
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"13.704,09"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"6.007,72"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"20.526,73"
,7000015.0,VENTAS MERCANCIAS SEC15,"20.438,75"
,7000020.0,VENTAS MERCANCIAS SEC20,"3.685,10"
,7000021.0,VENTAS MERCANCIAS SEC21,"730,95"
,7000022.0,VENTAS MERCANCIAS SEC22,"9.664,08"
,7000023.0,VENTAS MERCANCIAS SEC23,"5.104,40"
,7000024.0,VENTAS MERCANCIAS SEC24,"4.067,11"
,7000026.0,VENTAS MERCANCIAS SEC26,"604,46"
,7000030.0,VENTAS MERCANCIAS SEC30,"1.925,48"
,7000040.0,VENTAS MERCANCIAS SEC40,"97,40"
,7000060.0,VENTAS MERCANCIAS SEC60,"0,00"
,7080010.0,DEVOLUCION VENTAS SEC10,"-13,71"
,7080011.0,DEVOLUCION VENTAS SEC11,"-7,69"
,7080014.0,DEVOLUCION VENTAS SEC14,"-19,34"
,7080015.0,DEVOLUCION VENTAS SEC15,"-21,71"
,7080020.0,DEVOLUCION VENTAS SEC20,"-15,65"
,7080021.0,DEVOLUCION VENTAS SEC21,"0,00"
,7080022.0,DEVOLUCION VENTAS SEC22,"-42,06"
,7080023.0,DEVOLUCION VENTAS SEC23,"-8,08"
,7080024.0,DEVOLUCION VENTAS SEC24,"-12,39"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"-13,86"
,7080040.0,DEVOLUCION VENTAS SEC40,"0,00"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,65871.34
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"11.198,46"
,6000011.0,COMPRAS MERCANCIAS SEC11,"5.198,62"
,6000014.0,COMPRAS ALIMENTACION SECA,"13.477,21"
,6000015.0,COMPRAS PLS,"16.119,80"
,6000020.0,COMPRAS MERCANCIAS SEC20,"2.481,04"
,6000021.0,COMPRAS MERCANCIAS SEC21,"575,84"
,6000022.0,COMPRAS MERCANCIAS SEC22,"8.211,43"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"3.481,21"
,6000024.0,COMPRAS MERCANCIAS SEC24,"3.666,21"
,6000026.0,COMPRAS MERCANCIAS SEC26,"547,59"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"1.216,97"
,6000040.0,COMPRAS MERCANCIAS SEC40,"90,92"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"0,00"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"0,00"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"0,00"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-104,88"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"0,00"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"0,00"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"0,00"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
,6080030.0,NC DEVOLUCION/NC_FACTURA CFR30,"0,00"
,6080040.0,NC DEVOLUCION/NC_FACTURA CFR40,"0,00"
,6080060.0,NC DEVOLUCION/NC_FACTURA CFR60,"0,00"
,6000000.0,nan,"0,00"
6000121.0,6000124.0,COMPRAS MOSTRADOR,"0,00"
,,COMPRAS MOSTRADOR,
,,nan,
,,Otras Compras,
,,Variación de Existencias,
,6100000.0,VARIACION DE EXISTENCIAS MERCADERIAS,"0,00"
,6100001.0,nan,"0,00"
,6100002.0,nan,"0,00"
,6100003.0,EXISTENCIAS PROV LOCALES,"0,00"
6100006.0,6100004.0,nan,"0,00"
,6100010.0,VARIACION EXISTENCIAS SEC10,"0,00"
6100013.0,6100011.0,VARIACION EXISTENCIAS SEC11,"0,00"
,6100014.0,VARIACION EXISTENCIAS SEC14,"0,00"
,6100015.0,VARIACION EXISTENCIAS SEC15,"0,00"
,6100020.0,VARIACION EXISTENCIAS SEC20,"0,00"
,6100021.0,VARIACION EXISTENCIAS PESCADER,"0,00"
,6100022.0,VARIACION EXISTENCIAS SEC22,"0,00"
,6100023.0,VARIACION EXISTENCIAS SEC23,"0,00"
,6100024.0,VARIACION EXISTENCIAS CARNICER,"0,00"
,6100026.0,VARIACION EXISTENCIAS SNACK-BA,"0,00"
,6100030.0,VARIACION EXISTENCIAS SEC30,"0,00"
,6100040.0,VARIACION EXISTENCIAS SEC40,"0,00"
,6100060.0,VARIACION EXISTENCIAS SEC60,"0,00"
,,nan,
