codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),69287.81
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"12.629,75"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"3.313,19"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"14.230,54"
,7000015.0,VENTAS MERCANCIAS SEC15,"12.530,77"
,7000020.0,VENTAS MERCANCIAS SEC20,"2.548,90"
,7000021.0,VENTAS MERCANCIAS SEC21,"585,45"
,7000022.0,VENTAS MERCANCIAS SEC22,"5.793,41"
,7000023.0,VENTAS MERCANCIAS SEC23,"6.139,92"
,7000024.0,VENTAS MERCANCIAS SEC24,"2.252,57"
,7000026.0,VENTAS MERCANCIAS SEC26,"720,73"
,7000030.0,VENTAS MERCANCIAS SEC30,"1.608,52"
,7000040.0,VENTAS MERCANCIAS SEC40,"103,10"
,7000060.0,VENTAS MERCANCIAS SEC60,"0,00"
,7080010.0,DEVOLUCION VENTAS SEC10,"-13,96"
,7080011.0,DEVOLUCION VENTAS SEC11,"-2,11"
,7080014.0,DEVOLUCION VENTAS SEC14,"-16,48"
,7080015.0,DEVOLUCION VENTAS SEC15,"-18,36"
,7080020.0,DEVOLUCION VENTAS SEC20,"-2,14"
,7080021.0,DEVOLUCION VENTAS SEC21,"-5,30"
,7080022.0,DEVOLUCION VENTAS SEC22,"-2,84"
,7080023.0,DEVOLUCION VENTAS SEC23,"-4,62"
,7080024.0,DEVOLUCION VENTAS SEC24,"0,00"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"-2,87"
,7080040.0,DEVOLUCION VENTAS SEC40,"0,00"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,40487.83
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"7.080,09"
,6000011.0,COMPRAS MERCANCIAS SEC11,"2.106,81"
,6000014.0,COMPRAS ALIMENTACION SECA,"8.210,38"
,6000015.0,COMPRAS PLS,"8.996,98"
,6000020.0,COMPRAS MERCANCIAS SEC20,"1.875,96"
,6000021.0,COMPRAS MERCANCIAS SEC21,"541,14"
,6000022.0,COMPRAS MERCANCIAS SEC22,"4.838,94"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"3.941,98"
,6000024.0,COMPRAS MERCANCIAS SEC24,"1.906,93"
,6000026.0,COMPRAS MERCANCIAS SEC26,"474,01"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"856,46"
,6000040.0,COMPRAS MERCANCIAS SEC40,"94,79"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"0,00"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"0,00"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"0,00"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-222,33"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"0,00"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"0,00"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"-13,44"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
,6080030.0,NC DEVOLUCION/NC_FACTURA CFR30,"0,00"
,6080040.0,NC DEVOLUCION/NC_FACTURA CFR40,"0,00"
,6080060.0,NC DEVOLUCION/NC_FACTURA CFR60,"0,00"
,6000000.0,nan,"0,00"
6000121.0,6000124.0,COMPRAS MOSTRADOR,"0,00"
,,COMPRAS MOSTRADOR,
,,nan,
,,Otras Compras,
,,Variación de Existencias,
,6100000.0,VARIACION DE EXISTENCIAS MERCADERIAS,"0,00"
,6100001.0,nan,"0,00"
,6100002.0,nan,"0,00"
