codigo_1,codigo_2,concepto,imeapu
,70000000.0,VENTA BRUTA (CON CONCESIONES),
,,VENTA BRUTA (SIN CONCESIONES),117228.24
,,VENTA NETA (CON CONCESIONES),
7000100.0,7000010.0,VENTAS MERCANCIAS SEC10,"15.086,29"
7010100.0,7000011.0,VENTAS MERCANCIAS SEC11,"6.454,94"
7010400.0,7000014.0,VENTAS MERCANCIAS SEC14,"27.939,59"
,7000015.0,VENTAS MERCANCIAS SEC15,"24.793,96"
,7000020.0,VENTAS MERCANCIAS SEC20,"4.421,80"
,7000021.0,VENTAS MERCANCIAS SEC21,"649,65"
,7000022.0,VENTAS MERCANCIAS SEC22,"10.574,98"
,7000023.0,VENTAS MERCANCIAS SEC23,"5.872,13"
,7000024.0,VENTAS MERCANCIAS SEC24,"6.329,68"
,7000026.0,VENTAS MERCANCIAS SEC26,"744,50"
,7000030.0,VENTAS MERCANCIAS SEC30,"3.184,23"
,7000040.0,VENTAS MERCANCIAS SEC40,"227,27"
,7000060.0,VENTAS MERCANCIAS SEC60,"0,00"
,7080010.0,DEVOLUCION VENTAS SEC10,"0,00"
,7080011.0,DEVOLUCION VENTAS SEC11,"-14,03"
,7080014.0,DEVOLUCION VENTAS SEC14,"-23,27"
,7080015.0,DEVOLUCION VENTAS SEC15,"-17,56"
,7080020.0,DEVOLUCION VENTAS SEC20,"0,00"
,7080021.0,DEVOLUCION VENTAS SEC21,"0,00"
,7080022.0,DEVOLUCION VENTAS SEC22,"-4,32"
,7080023.0,DEVOLUCION VENTAS SEC23,"0,00"
,7080024.0,DEVOLUCION VENTAS SEC24,"0,00"
,7080026.0,DEVOLUCION VENTAS SEC26,"0,00"
,7080030.0,DEVOLUCION VENTAS SEC30,"-1,12"
,7080040.0,DEVOLUCION VENTAS SEC40,"-8,26"
,7080060.0,nan,"0,00"
,7080000.0,nan,"0,00"
,,VENTA NETA (SIN CONCESIONES),
,,COMPRAS,80980.17
,,COSTE DE VENTAS (SIN CONCESIONES),
,,Compras a Carrefour,
,6000010.0,COMPRAS LIQUIDOS,"13.157,62"
,6000011.0,COMPRAS MERCANCIAS SEC11,"5.488,78"
,6000014.0,COMPRAS ALIMENTACION SECA,"17.765,83"
,6000015.0,COMPRAS PLS,"20.276,02"
,6000020.0,COMPRAS MERCANCIAS SEC20,"3.752,78"
,6000021.0,COMPRAS MERCANCIAS SEC21,"413,27"
,6000022.0,COMPRAS MERCANCIAS SEC22,"8.974,52"
,6000023.0,COMPRAS PANADERÍA-PASTELERÍA,"3.336,26"
,6000024.0,COMPRAS MERCANCIAS SEC24,"5.574,03"
,6000026.0,COMPRAS MERCANCIAS SEC26,"573,77"
6000031.0,6000030.0,COMPRAS MERCANCIAS SEC30,"1.706,17"
,6000040.0,COMPRAS MERCANCIAS SEC40,"210,73"
,6000060.0,COMPRAS MERCANCIAS SEC60,"0,00"
,6080010.0,NC DEVOLUCION/NC_FACTURA CFR10,"0,00"
,6080011.0,NC DEVOLUCION/NC_FACTURA CFR11,"0,00"
,6080014.0,NC DEVOLUCION/NC_FACTURA CFR14,"0,00"
,6080015.0,NC DEVOLUCION/NC_FACTURA CFR15,"-233,12"
,6080020.0,NC DEVOLUCION/NC_FACTURA CFR20,"0,00"
,6080021.0,NC DEVOLUCION/NC_FACTURA CFR21,"0,00"
,6080022.0,NC DEVOLUCION/NC_FACTURA CFR22,"-9,49"
,6080023.0,NC DEVOLUCION/NC_FACTURA CFR23,"0,00"
,6080024.0,NC DEVOLUCION/NC_FACTURA CFR24,"0,00"
,6080026.0,NC DEVOLUCION/NC_FACTURA CFR26,"0,00"
,6080030.0,NC DEVOLUCION/NC_FACTURA CFR30,"-7,00"
,6080040.0,NC DEVOLUCION/NC_FACTURA CFR40,"0,00"
,6080060.0,NC DEVOLUCION/NC_FACTURA CFR60,"0,00"
,6000000.0,nan,"0,00"
6000121.0,6000124.0,COMPRAS MOSTRADOR,"0,00"
,,COMPRAS MOSTRADOR,
,,nan,
,,Otras Compras,
,,Variación de Existencias,
,6100000.0,VARIACION DE EXISTENCIAS MERCADERIAS,"0,00"
,6100001.0,nan,"0,00"
,6100002.0,nan,"0,00"
,6100003.0,EXISTENCIAS PROV LOCALES,"0,00"
