EST,ventas_brutas,compras,TIENDA
4272,65183.63,23271.46,Calle Arriba nº 4
4284,51289.53,13375.67,"Puente Arce,2"
4313,83523.21,27340.64,Calle Damian Tellez Lafuente
4317,67898.81,13407.67,Torrent de L'Olla
4338,86345.34,28626.39,"Avda. de los Castros, 79"
4394,88644.88,25517.29,LEIOA - AVDA. IPARRAGUIRR
4491,83677.69,32555.61,"C/ Francisco Vaca Morales, nº 8"
4525,83076.61,26570.68,Avda de Pardaleras nº 2
4533,90311.97,26430.91,"Plaza del Ángel, 11"
4538,66258.23,14644.3,Juan Sebastián el Cano
4559,103191.58,29885.44,Plaza Conde Torre del Fresno nº2
4610,67176.85,14869.36,Santa Coloma 2
4672,126183.05,44054.61,Gremi Tintorers 4
4687,94801.92,29633.05,Arzobispo Guisasola 42
4717,128900.49,35665.97,Shultz 2
4736,30464.44,5547.86,L'or 48
4804,,23374.23,"Calle Cardenal Cervantes, 12"
4843,133302.26,43779.7,Avda Constitución Alcobendas
4872,71104.98,22191.31,"Calderón de la Barca 2, 8"
4897,117228.24,35766.69,Calle de la Ronda 32
4960,115641.73,29736.68,Lopez Mateo 11
4979,70610.21,18652.19,Corcega 388
5054,108141.89,29457.36,"AV President Companys, 72"
5077,97034.59,30964.11,"Paseo General Davila, 306"
5090,86315.38,21123.09,"Ramon Jara, 31"
5093,105584.28,26858.12,"Av. Ancares 10, Bajos"
5099,135478.99,45644.9,"Poeta Paco Aquino, 23"
5109,81533.96,25453.84,"Calle San Antonio, 55"
5161,187180.96,35530.88,"Av. Pais Valencia, 22"
5166,86501.99,23003.14,"Ctra General 2, El crucero"
5167,94852.31,31194.4,"Calle Villajoyoya, 87"
5186,103293.77,30060.87,Avda. Manuel Candela 56
5187,97868.35,28844.9,"Calle Aguado, 29"
5197,83182.41,21712.17,"Calle Francesc Artau, 2"
5201,170343.16,49127.5,"C/ Cervantes, 89-91"
5206,,-9657.7,"Calle de la Ginesta, 3"
5213,68201.25,20723.49,Calle Donantes de Sangre 21
5237,83771.99,27243.88,"Calle Gerona, 15"
5239,69287.81,21030.98,Calle Marques de San Esteban 12
5286,71686.31,25921.81,AV DE ANDALUCIA 10
5302,237067.72,78143.72,Plaza de la Merced
5315,104202.26,22652.13,Francesc layret 128
5322,103632.47,32947.24,Calle Santa Engracia 115
5368,88340.01,28786.14,AVENIDA CABO DE GATA 86
5370,52332.42,15282.37,Calle Caravel.la S/N
5374,75918.8,22813.04,"Calle Estepona 2, (Plaza de la Iglesia 1)"
5379,64528.12,21308.43,"Calle Marqués de la Hermida, 14,"
5389,133947.74,35482.71,"C/ Narcís Monturiol,72-74"
5394,127738.17,41851.72,CALLE RAMON Y CAJAL 48
5402,28682.32,10192.01,"Camí Ral, 156"
5409,79580.32,24572.42,"AV. JUAN CARLOS I, 12"
5430,127310.28,37104.36,"AV PICASSO, 2"
5437,98452.85,29448.21,"Av. Garraf,63"
5443,40166.61,12998.56,"C/ Joan Maragall,29"
5456,97980.48,39817.2,"C/ AUGUSTO SUARES DE FIGUEROA, 6"
5457,124682.42,33526.3,"C/ OMS, 35"
5468,74710.14,24297.86,PLAZA PAZ 8
5469,80679.12,21291.67,"Calle Señorio de Bizkaia, 28"
5471,39209.22,-21139.85,"CALLE PILOÑA, 31"
5481,61574.06,21780.36,"Barrio La Rañada 14, Urbanización Montesol, Bloque 3 Local 9"
5484,42147.86,14650.13,C/ ARNAU D'OMS 29
5501,44080.77,10778.31,"Av. Del Puerto, 3"
5509,69611.0,17808.78,Plaza Rafael Mingarro
5513,98254.85,28241.8,"Av. Galicia, 7"
5517,65596.26,19701.54,Camino Cabueñes 24
5520,74096.68,22208.39,C/ Doctor Severo Ochoa 9
5533,75473.37,23346.44,"Plaza Mikel Deuna, 1"
5536,168536.67,31604.5,"Avda Martí Pujol, 27"
5545,,,Sector Escultores nº1
5556,95526.57,32156.97,Calle Agustina de Aragón 2
5559,96984.86,27311.85,"RAMBLA SANT JORDI, 7"
5560,64035.91,22956.98,"CALLE FERNANDO CASANOVA BENLLOCH, 8"
5562,,10.1,"Carrer Penedes, 119"
5565,25296.26,9151.31,"Carrer Bonança, 6"
5566,97846.52,21169.4,Carrer Dr Bertomeu 16
5576,37166.52,12896.37,"Calle Viena, 1"
5578,65022.06,19290.19,ALCALDE JOSE BENJAMIN VILLALOBOS 8
5582,157982.07,16672.31,Poligono de Xaras AC-550
5587,89288.56,8533.84,"Av. Cambados, 57"
5589,146125.49,44667.99,Avda General Peron nº 12
5595,72195.06,28939.63,Av. Rubine 4
5598,60321.59,19272.64,Carrer Rutlla 29
5600,162891.07,51165.04,C/ Aragon 52
5603,76562.06,25061.15,"Avda Maria Ros, 11"
5605,124168.3,34274.46,"C/ Andres Mellado, 61"
5610,89349.93,28605.91,"C/ Recaredo, 21"
5618,85694.41,24895.92,"C/ Jaume Balmes, 35"
5619,80525.0,21126.86,"C/ Santa Anna, 6"
5621,134434.86,35685.28,"C/ Nieto Alcalá Zamora, 36"
5626,85670.43,22193.52,"C/ Maria Cristina, 9"
5627,98421.36,27196.42,"C/ Antoni Torrella, 8"
5634,118429.75,40938.98,"C/ Rubio i Ors, 21-23"
5642,80651.2,19699.05,"Av. Del Maresme, 219"
5653,60560.01,148749.94,"Carretera Rellinars, 204"
5655,,,"Av.Bilbao, 64"
5658,79425.25,28926.97,"Avda. Ricardo Carapeto, 38"
5661,40392.87,13958.48,"C/ Gustavo Adolfo Becquer, 1-2"
5665,109890.99,35202.59,"C/ Jesus Lara, 18"
5670,60201.1,23374.51,"C/ El Olivo, 4"
5675,101257.28,26539.04,"C/ Cronista Muntaner, 21"
5680,94569.83,33551.02,"Camino de la Ronda, 80"
5683,53687.37,19116.55,"Paseo Velilla, 17"
5698,,,"Rua Redondela, 21"
5709,49372.82,14377.96,"Avda. Andalucia, 19"
5716,84524.85,24578.42,"c/ Wagner, 72"
5717,95637.88,25358.96,"c/ Manuel Guillon, 23"
5718,78438.13,22856.72,"C/ RIN, 7"
5724,118395.44,31186.25,"C/ Major, 1"
5725,,,Calle San Marcial 21
5728,65112.57,17933.18,"C/Senia del Barral, 19"
5739,101500.87,20777.54,"C/ San Isidre, 25"
5740,99280.59,32007.47,"C/ del Poeta Costa i Llobera, 121"
5742,63397.01,24924.55,"Rambla de Sant Joan, 105"
5753,110429.31,35268.58,"C/ Panama, 10"
5760,66099.88,14565.52,"C/ Mayor Baja, 13"
5770,,,"Plaza Anteiglesia, 5, Bajo"
5790,46767.36,28396.92,"Calle Antonio Lopez,37"
5791,25793.14,29665.73,"Calle Ercilla, 21"
5792,37482.23,34263.08,"Avda de Brasil, 8"
5793,4698.4,23490.85,"Av Pi i Maragall, 53"
5797,,52288.99,Passeig San Joan 98
