CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,5578,2025,1,290,-4.5,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000060,H,5578,2025,1,290,961.9300000000001,5,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000026,H,5578,2025,1,290,520.59,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000014,H,5578,2025,1,290,13589.96,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6402000,D,5578,2025,1,290,359.95,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6090103,D,5578,2025,1,290,2207.23,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6090100,D,5578,2025,1,290,101.4,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4850001,D,5578,2025,1,290,65126.46,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4101102,D,5578,2025,1,290,46.99,8,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4101100,D,5578,2025,1,290,1323.1200000000001,25,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
2817000,H,5578,2025,1,290,1875.8999999999996,48,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000030,H,5578,2025,1,290,2995.6600000000003,6,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000024,H,5578,2025,1,290,2498.85,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000023,H,5578,2025,1,290,4734.63,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6400000,D,5578,2025,1,290,7199.9,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6236024,D,5578,2025,1,290,373.08,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6214002,D,5578,2025,1,290,150.0,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6080030,D,5578,2025,1,290,-515.74,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6080023,D,5578,2025,1,290,-308.79,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4760000,H,5578,2025,1,290,2089.74,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4720000,D,5578,2025,1,290,3546.69,51,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
7000020,H,5578,2025,1,290,2932.35,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6620000,D,5578,2025,1,290,55.74,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6000060,D,5578,2025,1,290,105.64,2,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6000020,D,5578,2025,1,290,2095.8,7,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6000015,D,5578,2025,1,290,10507.23,7,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6000010,D,5578,2025,1,290,6884.42,8,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4850002,D,5578,2025,1,290,104.4,12,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
4000001,H,5578,2025,1,290,35201.49,33,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
2815000,H,5578,2025,1,290,6134.580000000001,24,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6420000,D,5578,2025,1,290,1739.82,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6090101,D,5578,2025,1,290,1765.85,10,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6080024,D,5578,2025,1,290,-72.98,4,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6080015,D,5578,2025,1,290,-657.21,8,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
6000023,H,5578,2025,1,290,100.12,1,ALYJO EXPRESS SL,B44976355,5985,Leon,ALCALDE JOSE BENJAMIN VILLALOBOS 8,,ALYJO EXPRESS SL
