CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7590010,H,5430,2025,1,259,519.57,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7080022,D,5430,2025,1,259,-3.44,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7000040,H,5430,2025,1,259,83.39,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6590002,D,5430,2025,1,259,0.8699999999999983,26,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6230004,D,5430,2025,1,259,597.95,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6080015,D,5430,2025,1,259,-460.17,7,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6000024,D,5430,2025,1,259,3697.33,9,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6000015,D,5430,2025,1,259,22351.05,9,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
4101103,H,5430,2025,1,259,131.1,3,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7080011,D,5430,2025,1,259,-2.39,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7000030,H,5430,2025,1,259,3304.1,5,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7000022,H,5430,2025,1,259,11868.09,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6816000,D,5430,2025,1,259,338.2,12,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6000023,D,5430,2025,1,259,3536.5499999999993,9,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6000020,D,5430,2025,1,259,4508.78,8,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6000010,D,5430,2025,1,259,25018.74,8,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
4850001,H,5430,2025,1,259,127367.25,30,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
4430002,D,5430,2025,1,259,407.4399999999999,20,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
4101100,D,5430,2025,1,259,116.36000000000001,11,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
2817000,H,5430,2025,1,259,3811.0000000000005,12,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
7080020,D,5430,2025,1,259,-3.99,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6214000,D,5430,2025,1,259,1427.58,1,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
6090100,D,5430,2025,1,259,238.51,2,ONSUPERMERCADOS SL,B09985714,5786,Valencia,"AV PICASSO, 2",,ONSUPERMERCADOS SL
