CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080022,D,5054,2025,1,255,-7.54,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000040,H,5054,2025,1,255,103.31,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000015,H,5054,2025,1,255,24452.4,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000010,H,5054,2025,1,255,18990.44,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000014,D,5054,2025,1,255,14402.3,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080024,D,5054,2025,1,255,-22.15,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000023,H,5054,2025,1,255,5064.35,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000014,H,5054,2025,1,255,21828.06,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080010,D,5054,2025,1,255,-28.1,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000020,H,5054,2025,1,255,3506.78,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000021,D,5054,2025,1,255,512.6200000000001,7,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080030,D,5054,2025,1,255,-16.53,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000026,H,5054,2025,1,255,1179.11,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000024,H,5054,2025,1,255,4267.35,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000022,H,5054,2025,1,255,8680.61,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000021,H,5054,2025,1,255,379.11,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6590002,D,5054,2025,1,255,0.44,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000026,D,5054,2025,1,255,539.27,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080011,D,5054,2025,1,255,-60.45,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000011,D,5054,2025,1,255,5170.37,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
4850001,D,5054,2025,1,255,108372.84,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080023,D,5054,2025,1,255,-6.68,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080014,D,5054,2025,1,255,-28.84,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6080022,D,5054,2025,1,255,-596.09,4,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000040,D,5054,2025,1,255,98.97000000000001,7,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
4770000,H,5054,2025,1,255,10867.52,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7080015,D,5054,2025,1,255,-30.7,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6080014,D,5054,2025,1,255,-2.18,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000030,D,5054,2025,1,255,868.2000000000002,19,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000024,D,5054,2025,1,255,1177.2,7,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000022,D,5054,2025,1,255,6350.639999999999,12,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000015,D,5054,2025,1,255,15253.05,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000010,D,5054,2025,1,255,13030.98,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000030,H,5054,2025,1,255,2338.29,6,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
7000011,H,5054,2025,1,255,6685.55,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6080015,D,5054,2025,1,255,-143.4,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000023,D,5054,2025,1,255,452.19,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
6000020,D,5054,2025,1,255,2214.1200000000003,8,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
4850002,H,5054,2025,1,255,230.95,1,SUPER GULMAH SLU,B67606012,5169,Badalona,"AV President Companys, 72",,SUPER GULMAH SLU
