CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000026,H,4687,2025,1,233,510.92,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
7000020,H,4687,2025,1,233,3191.84,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6810000,D,4687,2025,1,233,2740.559999999999,24,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6590002,D,4687,2025,1,233,-18.989999999999995,29,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6214000,D,4687,2025,1,233,1073.59,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6000030,D,4687,2025,1,233,1520.41,17,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
7080030,D,4687,2025,1,233,-5.44,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6230004,D,4687,2025,1,233,570.12,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6214002,D,4687,2025,1,233,270.26,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6090101,D,4687,2025,1,233,2065.92,9,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6000023,H,4687,2025,1,233,243.38,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
4850002,H,4687,2025,1,233,46.58,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
6000014,D,4687,2025,1,233,13370.55,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
4770000,H,4687,2025,1,233,8915.83,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
7080015,D,4687,2025,1,233,-12.69,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,4761,Oviedo,Arzobispo Guisasola 42,,"GARCIA CALVO EXPRESS, S.L."
