CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000030,H,5587,2025,1,292,1176.22,6,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000021,H,5587,2025,1,292,54.27,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000010,H,5587,2025,1,292,6471.15,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6236024,D,5587,2025,1,292,202.96,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
4850001,D,5587,2025,1,292,89572.23,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000014,H,5587,2025,1,292,6434.81,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6090103,D,5587,2025,1,292,1053.03,2,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6080020,D,5587,2025,1,292,-13.44,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000024,D,5587,2025,1,292,661.28,7,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000014,D,5587,2025,1,292,4609.17,8,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7080024,D,5587,2025,1,292,-2.07,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000060,H,5587,2025,1,292,9.87,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000020,H,5587,2025,1,292,1068.73,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6590002,D,5587,2025,1,292,5.030000000000001,30,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6090100,D,5587,2025,1,292,51.26,2,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7080030,D,5587,2025,1,292,-0.25,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000024,H,5587,2025,1,292,735.86,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000023,D,5587,2025,1,292,2254.12,8,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000011,D,5587,2025,1,292,669.99,7,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7080014,D,5587,2025,1,292,-2.71,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000040,H,5587,2025,1,292,57.85,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6080014,D,5587,2025,1,292,-86.28999999999999,2,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
4770000,H,5587,2025,1,292,8511.0,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7080015,D,5587,2025,1,292,-251.18,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000026,H,5587,2025,1,292,32.59,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000022,H,5587,2025,1,292,919.8,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000040,D,5587,2025,1,292,55.51,4,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000022,D,5587,2025,1,292,1159.9899999999998,9,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
4850002,H,5587,2025,1,292,283.67,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7080022,D,5587,2025,1,292,-1.97,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000023,H,5587,2025,1,292,2420.11,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000011,H,5587,2025,1,292,1037.47,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6214000,D,5587,2025,1,292,1009.71,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6090101,D,5587,2025,1,292,478.91999999999996,6,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6080015,D,5587,2025,1,292,-118.50999999999999,4,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000030,D,5587,2025,1,292,1399.65,13,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000020,D,5587,2025,1,292,944.63,6,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
7000015,H,5587,2025,1,292,60617.01,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6230004,D,5587,2025,1,292,570.12,1,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6214002,D,5587,2025,1,292,-444.0,2,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6090001,D,5587,2025,1,292,420.86999999999995,4,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000015,D,5587,2025,1,292,3836.73,8,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
6000010,D,5587,2025,1,292,5351.57,8,PESCA RIONOVAL SL,B70108907,5995,Vilagarcia de Arousa,"Av. Cambados, 57",,PESCA RIONOVAL
