CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000023,H,5513,2025,1,244,6518.52,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000014,H,5513,2025,1,244,22801.34,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000022,H,5513,2025,1,244,41.91,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080015,D,5513,2025,1,244,-25.57,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000060,H,5513,2025,1,244,13.16,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000026,H,5513,2025,1,244,967.21,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000024,H,5513,2025,1,244,4099.27,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6020099,D,5513,2025,1,244,72.3,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000024,D,5513,2025,1,244,3871.41,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000023,D,5513,2025,1,244,3544.91,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080014,D,5513,2025,1,244,-18.55,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6813000,D,5513,2025,1,244,97.10000000000002,24,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6230004,D,5513,2025,1,244,597.95,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000030,D,5513,2025,1,244,1076.4099999999999,17,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7590010,H,5513,2025,1,244,246.42,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000030,H,5513,2025,1,244,1827.1799999999998,5,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000020,H,5513,2025,1,244,3536.85,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6816000,D,5513,2025,1,244,4270.330000000001,48,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6812000,D,5513,2025,1,244,922.9599999999999,24,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000020,D,5513,2025,1,244,2350.8900000000003,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
2817000,D,5513,2025,1,244,289.05000000000007,12,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000021,H,5513,2025,1,244,456.67,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000011,H,5513,2025,1,244,4396.9,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6214000,D,5513,2025,1,244,1118.22,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6090101,D,5513,2025,1,244,1911.34,8,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6090100,D,5513,2025,1,244,177.27,2,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6090001,D,5513,2025,1,244,761.5999999999999,4,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000040,D,5513,2025,1,244,63.43,4,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000015,H,5513,2025,1,244,17937.92,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6590002,D,5513,2025,1,244,2.9800000000000124,30,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6214002,D,5513,2025,1,244,150.0,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6080015,D,5513,2025,1,244,-36.75,5,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000021,D,5513,2025,1,244,249.98000000000002,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
4770000,H,5513,2025,1,244,8796.36,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080022,D,5513,2025,1,244,-6.96,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080010,D,5513,2025,1,244,-32.55,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000040,H,5513,2025,1,244,66.12,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000022,H,5513,2025,1,244,13624.58,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7000010,H,5513,2025,1,244,13316.05,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6090103,D,5513,2025,1,244,3079.26,2,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6080020,D,5513,2025,1,244,-16.8,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000026,D,5513,2025,1,244,912.56,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000023,H,5513,2025,1,244,30.39,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000022,D,5513,2025,1,244,12676.55,8,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000015,D,5513,2025,1,244,14877.59,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000011,D,5513,2025,1,244,3936.36,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000010,D,5513,2025,1,244,12422.31,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
4850001,D,5513,2025,1,244,98368.07,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080030,D,5513,2025,1,244,-7.0,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080023,D,5513,2025,1,244,-3.71,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
7080011,D,5513,2025,1,244,-8.94,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6810000,D,5513,2025,1,244,12017.670000000004,36,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6236024,D,5513,2025,1,244,1198.29,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
6000014,D,5513,2025,1,244,14975.29,7,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
4850002,H,5513,2025,1,244,113.22,1,PERUJAL SL,B16840811,5914,Oviedo,"Av. Galicia, 7",,PERUJAL SL
