CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000040,H,5161,2025,1,214,126.36,2,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000030,H,5161,2025,1,214,3448.83,5,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000014,H,5161,2025,1,214,32441.64,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000040,D,5161,2025,1,214,158.61,8,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000023,D,5161,2025,1,214,3980.5399999999995,10,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
5790572,D,5161,2025,1,214,80993.39000000001,23,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4850002,D,5161,2025,1,214,145.42999999999998,14,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4101103,H,5161,2025,1,214,1156.35,5,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4101103,D,5161,2025,1,214,-4530.349999999999,15,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7080023,D,5161,2025,1,214,-10.9,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000020,H,5161,2025,1,214,13445.83,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000010,H,5161,2025,1,214,17046.74,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6590002,D,5161,2025,1,214,2.389999999999998,23,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6214000,D,5161,2025,1,214,2130.12,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6090001,D,5161,2025,1,214,1007.35,7,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6080014,D,5161,2025,1,214,-188.35,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000030,D,5161,2025,1,214,2178.34,24,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000022,D,5161,2025,1,214,6452.59,8,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000015,D,5161,2025,1,214,22625.66,10,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
6000014,D,5161,2025,1,214,21533.4,10,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4720000,D,5161,2025,1,214,10413.44,51,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4101102,D,5161,2025,1,214,257.96000000000004,14,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
4000004,H,5161,2025,1,214,3267.3,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7080015,D,5161,2025,1,214,-23.04,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000024,H,5161,2025,1,214,29790.2,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
7000023,H,5161,2025,1,214,9472.65,1,ALIMENTARIA SALES SL,B46752317,5381,Valencia,"Av. Pais Valencia, 22",,ALIMENTARIA SALES SL
