CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080030,D,8266,2025,1,236,-0.37,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7080024,D,8266,2025,1,236,-12.23,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7080015,D,8266,2025,1,236,-15.49,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7000015,H,8266,2025,1,236,31613.19,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6590002,D,8266,2025,1,236,0.45999999999999996,7,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6080022,D,8266,2025,1,236,-27.18,2,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6020099,D,8266,2025,1,236,50.81,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6000030,D,8266,2025,1,236,1380.03,20,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6000021,D,8266,2025,1,236,1759.68,9,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
5790572,D,8266,2025,1,236,152800.71000000002,30,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
4300001,D,8266,2025,1,236,219.47,2,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7080010,D,8266,2025,1,236,-42.64,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7000024,H,8266,2025,1,236,55590.03,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7000021,H,8266,2025,1,236,2041.45,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6000014,D,8266,2025,1,236,21811.22,9,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
4101100,D,8266,2025,1,236,697.76,16,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7080014,D,8266,2025,1,236,-47.23,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
7000030,H,8266,2025,1,236,2366.09,4,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
6214002,D,8266,2025,1,236,617.36,1,LOREA JANARIDENDA SL,B75103655,00HI,San Sebastian,Av Zarauz 88,,LOREA JANARIDENDA SL
