CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000060,H,5186,2025,1,243,46.26,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7000026,H,5186,2025,1,243,1212.64,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7000023,H,5186,2025,1,243,6111.43,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7000022,H,5186,2025,1,243,7742.35,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000022,H,5186,2025,1,243,146.3,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000022,D,5186,2025,1,243,7169.06,8,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
4770000,H,5186,2025,1,243,10264.05,2,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
4720000,D,5186,2025,1,243,7625.700000000004,42,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
4300001,D,5186,2025,1,243,509.88000000000005,6,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
4000004,H,5186,2025,1,243,2097.15,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7000011,H,5186,2025,1,243,5347.09,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6620000,D,5186,2025,1,243,118.9,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6236024,D,5186,2025,1,243,988.03,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6080015,D,5186,2025,1,243,-135.53,6,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000021,D,5186,2025,1,243,323.63,5,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000014,D,5186,2025,1,243,13734.369999999999,8,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000010,D,5186,2025,1,243,14992.670000000002,8,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
5790572,D,5186,2025,1,243,37347.759999999995,21,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
5700200,H,5186,2025,1,243,61969.14,21,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
4430001,D,5186,2025,1,243,21.14,5,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7080014,D,5186,2025,1,243,-36.01,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7000010,H,5186,2025,1,243,18801.73,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6090103,D,5186,2025,1,243,3224.97,2,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6020099,D,5186,2025,1,243,587.62,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000024,D,5186,2025,1,243,4592.39,8,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
6000023,D,5186,2025,1,243,4153.05,8,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
5700200,D,5186,2025,1,243,103293.76999999999,31,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
2817000,H,5186,2025,1,243,1430.43,5,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
7080023,D,5186,2025,1,243,-4.19,1,FAST FOOD FACTORY ARENA SL,B98877301,5489,Valencia,Avda. Manuel Candela 56,,FAST FOOD FACTORY ARENA SL
