CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000040,H,5658,2025,1,303,148.76,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000026,H,5658,2025,1,303,401.65,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000023,H,5658,2025,1,303,50.81,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000011,D,5658,2025,1,303,3794.14,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
5700200,D,5658,2025,1,303,79425.25,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
2810000,H,5658,2025,1,303,606.82,12,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000010,H,5658,2025,1,303,11072.75,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000030,D,5658,2025,1,303,1379.58,16,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000022,D,5658,2025,1,303,6368.14,9,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000010,D,5658,2025,1,303,8239.4,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4300002,D,5658,2025,1,303,544.5,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4101103,D,5658,2025,1,303,-2745.23,13,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080010,D,5658,2025,1,303,-20.32,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000011,H,5658,2025,1,303,5145.41,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000040,D,5658,2025,1,303,142.77999999999997,6,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000024,D,5658,2025,1,303,4262.71,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000020,D,5658,2025,1,303,2003.4900000000002,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4000004,H,5658,2025,1,303,1811.41,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
2810000,D,5658,2025,1,303,144.05,12,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7590010,H,5658,2025,1,303,37.9,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7590006,H,5658,2025,1,303,450.0,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080023,D,5658,2025,1,303,-10.5,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000030,H,5658,2025,1,303,2395.0499999999997,5,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000015,H,5658,2025,1,303,16043.4,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6810000,H,5658,2025,1,303,144.05,12,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6090001,D,5658,2025,1,303,635.7700000000001,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
5790570,D,5658,2025,1,303,45084.479999999996,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4430002,D,5658,2025,1,303,2329.6800000000003,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4300001,D,5658,2025,1,303,911.27,6,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000024,H,5658,2025,1,303,4614.96,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000014,H,5658,2025,1,303,16349.03,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6590002,D,5658,2025,1,303,-8.109999999999998,28,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6090103,D,5658,2025,1,303,2505.02,2,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000021,D,5658,2025,1,303,333.58,5,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000014,D,5658,2025,1,303,10933.19,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4850001,H,5658,2025,1,303,79513.39,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4770000,H,5658,2025,1,303,7600.88,3,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4720000,D,5658,2025,1,303,5514.159999999997,45,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4000001,H,5658,2025,1,303,46827.73000000001,30,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080030,D,5658,2025,1,303,-3.6,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080024,D,5658,2025,1,303,-3.48,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080022,D,5658,2025,1,303,-9.4,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080011,D,5658,2025,1,303,-1.78,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000023,H,5658,2025,1,303,5540.15,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6214002,D,5658,2025,1,303,150.0,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6214000,D,5658,2025,1,303,899.08,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6090100,D,5658,2025,1,303,137.86,2,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000023,D,5658,2025,1,303,3410.1699999999996,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
5700200,H,5658,2025,1,303,79425.25,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4850002,D,5658,2025,1,303,88.14,12,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4850002,H,5658,2025,1,303,88.14,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4101103,H,5658,2025,1,303,865.41,5,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4101102,D,5658,2025,1,303,72.33999999999999,13,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080015,D,5658,2025,1,303,-6.82,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6080015,D,5658,2025,1,303,-106.30000000000001,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6020099,D,5658,2025,1,303,50.81,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6000026,D,5658,2025,1,303,336.69000000000005,7,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
5790572,D,5658,2025,1,303,29776.36,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4850001,D,5658,2025,1,303,79513.39,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
4101100,D,5658,2025,1,303,1942.6399999999999,29,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7080014,D,5658,2025,1,303,-23.39,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000022,H,5658,2025,1,303,7231.37,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000021,H,5658,2025,1,303,344.03,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
7000020,H,5658,2025,1,303,2719.56,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6810000,D,5658,2025,1,303,606.82,12,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
6236024,D,5658,2025,1,303,413.48,1,ALEHU EXPRESS SL,B56516966,6085,Badajoz,"Avda. Ricardo Carapeto, 38",,ALEHU EXPRESS SL
