CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080015,D,4338,2025,1,230,-29.68,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7000022,H,4338,2025,1,230,7200.14,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7000011,H,4338,2025,1,230,4491.61,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6000015,D,4338,2025,1,230,12035.36,8,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
4850001,D,4338,2025,1,230,86500.64,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7080024,D,4338,2025,1,230,-13.26,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7080021,D,4338,2025,1,230,-16.27,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7000020,H,4338,2025,1,230,3204.23,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6590002,D,4338,2025,1,230,17.659999999999997,30,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6080015,D,4338,2025,1,230,-155.48,8,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6080014,D,4338,2025,1,230,-75.94,2,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7080020,D,4338,2025,1,230,-2.59,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7000030,H,4338,2025,1,230,1497.1399999999999,5,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
7000014,H,4338,2025,1,230,23237.35,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6230004,D,4338,2025,1,230,570.12,1,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
6000026,D,4338,2025,1,230,477.95,7,"ANER ENERGIA, S.L.",B39749379,4261,Santander,"Avda. de los Castros, 79",,"ANER ENERGIA, S.L."
