CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000021,H,5603,2025,1,261,292.9,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6000040,D,5603,2025,1,261,111.11,6,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7080015,D,5603,2025,1,261,-9.5,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000030,H,5603,2025,1,261,1889.69,5,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000011,H,5603,2025,1,261,3791.22,2,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6080022,D,5603,2025,1,261,-814.8499999999999,5,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7080022,D,5603,2025,1,261,-3.32,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7080014,D,5603,2025,1,261,-31.37,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000026,H,5603,2025,1,261,242.68,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000024,H,5603,2025,1,261,3642.56,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000023,H,5603,2025,1,261,4951.41,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000022,H,5603,2025,1,261,4943.41,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
7000014,H,5603,2025,1,261,17304.1,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6000026,D,5603,2025,1,261,198.2,5,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6000021,D,5603,2025,1,261,290.83000000000004,5,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6214000,D,5603,2025,1,261,860.22,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6090001,D,5603,2025,1,261,694.0,4,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
6020099,D,5603,2025,1,261,245.84,1,QUYLLOR 2020 SL,B01840271,6014,Valencia,"Avda Maria Ros, 11",,QUYLLOR 2020 SL
