CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,5536,2025,1,286,-48.0,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
7000015,H,5536,2025,1,286,28406.16,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6620000,D,5536,2025,1,286,115.39,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6080014,D,5536,2025,1,286,-1478.9299999999998,2,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6020099,D,5536,2025,1,286,652.89,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6000026,D,5536,2025,1,286,794.9,8,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6000021,D,5536,2025,1,286,244.0,5,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
5790572,D,5536,2025,1,286,85270.04,26,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
4850002,H,5536,2025,1,286,271.74,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
4720000,D,5536,2025,1,286,10751.53999999999,47,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
2812000,H,5536,2025,1,286,1707.5100000000007,24,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
7080020,D,5536,2025,1,286,1.1,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
7080011,D,5536,2025,1,286,-27.2,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
7080010,D,5536,2025,1,286,-11.94,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
7000022,H,5536,2025,1,286,19906.69,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6800000,D,5536,2025,1,286,49999.99999999999,12,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6402000,D,5536,2025,1,286,421.07,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6400000,D,5536,2025,1,286,17645.39,1,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6090100,D,5536,2025,1,286,196.34,2,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
6000040,D,5536,2025,1,286,281.36,8,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
5700200,D,5536,2025,1,286,168536.67,31,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
4850002,D,5536,2025,1,286,307.58,18,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
4770000,H,5536,2025,1,286,15667.94,2,COMERCIAL PROVAT SL,B13662549,5939,Badalona,"Avda Martí Pujol, 27",,COMERCIAL PROVAT SL
