CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080015,D,5560,2025,1,291,-8.04,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000030,H,5560,2025,1,291,1048.98,5,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000022,H,5560,2025,1,291,5515.31,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000020,H,5560,2025,1,291,2240.18,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000011,H,5560,2025,1,291,3277.59,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7080030,D,5560,2025,1,291,-0.1,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000024,H,5560,2025,1,291,2317.11,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000023,H,5560,2025,1,291,3832.42,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
7000021,H,5560,2025,1,291,283.81,1,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
6080015,D,5560,2025,1,291,-22.080000000000002,4,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
6000023,D,5560,2025,1,291,1731.36,6,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
6000011,D,5560,2025,1,291,2399.73,7,GOLOK CAPITAL STORE SL,B72526940,5965,Valencia,"CALLE FERNANDO CASANOVA BENLLOCH, 8",,GOLOK CAPITAL STORE SL
