CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080010,D,5394,2025,1,244,-4.73,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6090103,D,5394,2025,1,244,4256.83,2,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6090001,D,5394,2025,1,244,724.0899999999999,7,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6080010,D,5394,2025,1,244,-19.79,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6000020,D,5394,2025,1,244,3059.75,8,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6000011,D,5394,2025,1,244,5404.509999999999,8,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
7590010,H,5394,2025,1,244,246.43,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
7080014,D,5394,2025,1,244,-6.79,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
7080011,D,5394,2025,1,244,-12.05,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6230004,D,5394,2025,1,244,597.95,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6214002,D,5394,2025,1,244,150.0,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6090100,D,5394,2025,1,244,211.5,2,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6080015,D,5394,2025,1,244,-68.96,5,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
6000026,D,5394,2025,1,244,1111.9399999999998,8,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
4850002,H,5394,2025,1,244,86.13,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
7000014,H,5394,2025,1,244,27062.39,1,PERUJAL SL,B16840811,5748,Gijon,CALLE RAMON Y CAJAL 48,,PERUJAL SL
