CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080023,D,5728,2025,1,245,-2.08,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7080011,D,5728,2025,1,245,-22.29,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000026,H,5728,2025,1,245,306.5,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6236024,D,5728,2025,1,245,851.51,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000026,D,5728,2025,1,245,324.72,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000022,D,5728,2025,1,245,4549.45,15,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000021,D,5728,2025,1,245,249.67,4,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7590010,H,5728,2025,1,245,18.96,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000022,H,5728,2025,1,245,4240.95,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6590002,D,5728,2025,1,245,14.719999999999999,28,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6230004,D,5728,2025,1,245,656.76,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6214000,D,5728,2025,1,245,1302.63,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6090103,D,5728,2025,1,245,340.39,2,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6080015,D,5728,2025,1,245,-262.67,8,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000023,D,5728,2025,1,245,2938.7200000000007,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7080015,D,5728,2025,1,245,-4.84,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7080014,D,5728,2025,1,245,-10.48,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000023,H,5728,2025,1,245,3805.83,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000021,H,5728,2025,1,245,237.99,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6810003,D,5728,2025,1,245,90.66000000000001,12,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6090100,D,5728,2025,1,245,170.28,2,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6020099,D,5728,2025,1,245,190.47,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000024,D,5728,2025,1,245,3201.8,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000015,D,5728,2025,1,245,10127.640000000001,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000014,D,5728,2025,1,245,13671.519999999999,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000010,D,5728,2025,1,245,9447.460000000001,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
4850002,H,5728,2025,1,245,52.36,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
4770000,H,5728,2025,1,245,6662.66,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
2814000,D,5728,2025,1,245,195.69,12,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000010,H,5728,2025,1,245,12377.97,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6816000,D,5728,2025,1,245,411.40999999999997,12,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000030,D,5728,2025,1,245,3034.65,22,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000011,D,5728,2025,1,245,6862.2,10,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
2816000,D,5728,2025,1,245,453.8200000000001,24,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000030,H,5728,2025,1,245,2432.58,5,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
7000024,H,5728,2025,1,245,2627.55,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6090001,D,5728,2025,1,245,837.75,5,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000040,D,5728,2025,1,245,87.10000000000001,6,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
6000023,H,5728,2025,1,245,190.47,1,SUPERMERCADO JOHAL S.L.,B55353718,6218,Lloret de Mar,"C/Senia del Barral, 19",,SUPERMERCADO JOHAL S.L.
