CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080023,D,5456,2025,1,262,-1.99,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7080010,D,5456,2025,1,262,-10.17,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7000023,H,5456,2025,1,262,4751.03,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7000014,H,5456,2025,1,262,19772.35,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
4101103,H,5456,2025,1,262,397.59000000000003,5,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
2812000,H,5456,2025,1,262,8877.24,48,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7080014,D,5456,2025,1,262,-23.28,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7080011,D,5456,2025,1,262,-3.41,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
7000026,H,5456,2025,1,262,649.25,1,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
6620000,D,5456,2025,1,262,179.29999999999998,6,DALILA SUPER DISTRIBUCION SL,B10742963,5812,Estepona,"C/ AUGUSTO SUARES DE FIGUEROA, 6",,DALILA SUPER DISTRUBUCION SL
