CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080030,D,5600,2025,1,295,-22.369999999999997,3,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7000040,H,5600,2025,1,295,155.01000000000002,4,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6812000,D,5600,2025,1,295,3809.0499999999993,36,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6236024,D,5600,2025,1,295,975.28,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6000015,D,5600,2025,1,295,22734.119999999995,8,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4101100,D,5600,2025,1,295,985.1900000000002,18,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7080011,D,5600,2025,1,295,-64.89,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7000021,H,5600,2025,1,295,865.55,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6811000,D,5600,2025,1,295,2133.52,24,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6590002,D,5600,2025,1,295,-1.35,21,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6090103,D,5600,2025,1,295,4386.3099999999995,2,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6080015,D,5600,2025,1,295,-277.84,6,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6020099,D,5600,2025,1,295,40.71,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6000040,D,5600,2025,1,295,91.34,5,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6000022,D,5600,2025,1,295,10920.2,7,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
6000010,D,5600,2025,1,295,23209.72,10,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4720000,D,5600,2025,1,295,11331.589999999997,47,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4430002,D,5600,2025,1,295,1100.81,19,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4430001,D,5600,2025,1,295,19.04,2,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4401102,D,5600,2025,1,295,20325.760000000002,21,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4401102,H,5600,2025,1,295,0.0,21,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
4000002,H,5600,2025,1,295,10492.049999999996,15,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7080022,D,5600,2025,1,295,-27.21,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7080020,D,5600,2025,1,295,-3.96,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
7080015,D,5600,2025,1,295,-70.84,1,FRABECA SUPERMERCADOS SL,B44596559,6010,Palma de Mallorca,C/ Aragon 52,,FRABECA SUPERMERCADOS SL
