CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080014,D,5201,2025,1,215,-858.46,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000030,H,5201,2025,1,215,3558.94,5,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000026,H,5201,2025,1,215,858.22,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000040,D,5201,2025,1,215,51.540000000000006,4,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000011,D,5201,2025,1,215,8449.64,7,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
4850001,D,5201,2025,1,215,175340.85,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000014,H,5201,2025,1,215,35686.18,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000010,H,5201,2025,1,215,20350.24,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6080023,D,5201,2025,1,215,-35.34,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6080014,D,5201,2025,1,215,-105.54,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
4850002,H,5201,2025,1,215,4997.69,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080021,D,5201,2025,1,215,-1090.91,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080011,D,5201,2025,1,215,-58.76,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000024,H,5201,2025,1,215,5867.91,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000022,H,5201,2025,1,215,17777.21,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000011,H,5201,2025,1,215,10935.16,2,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6080022,D,5201,2025,1,215,-166.25,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000020,D,5201,2025,1,215,4183.01,7,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080022,D,5201,2025,1,215,-560.42,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000024,D,5201,2025,1,215,2109.38,6,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000022,D,5201,2025,1,215,14360.29,8,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000014,D,5201,2025,1,215,23867.0,7,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080024,D,5201,2025,1,215,-211.16,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080015,D,5201,2025,1,215,-88.09,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7080010,D,5201,2025,1,215,-78.84,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000040,H,5201,2025,1,215,53.72,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
7000020,H,5201,2025,1,215,7659.5,1,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000030,D,5201,2025,1,215,1475.82,15,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
6000021,D,5201,2025,1,215,577.98,7,VELMONTE SUPERMERCADO SL,B67497701,5520,Terrassa,"C/ Cervantes, 89-91",,VELMONTE SUPERMERCADO SL
