CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080020,D,5670,2025,1,307,-6.66,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000030,H,5670,2025,1,307,3220.84,6,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000021,H,5670,2025,1,307,411.99,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6214000,D,5670,2025,1,307,674.18,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080011,D,5670,2025,1,307,-969.75,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000030,D,5670,2025,1,307,2429.5200000000004,17,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
5700200,D,5670,2025,1,307,60201.1,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4850002,H,5670,2025,1,307,127.45,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4720000,D,5670,2025,1,307,4501.32,43,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4430002,D,5670,2025,1,307,1117.2100000000003,23,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6236024,D,5670,2025,1,307,469.33,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6090103,D,5670,2025,1,307,1529.74,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000011,D,5670,2025,1,307,1987.0500000000002,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000010,D,5670,2025,1,307,12341.21,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4850002,D,5670,2025,1,307,127.45,10,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4850001,D,5670,2025,1,307,60328.55,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4000001,H,5670,2025,1,307,42470.649999999994,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
2816000,H,5670,2025,1,307,766.2899999999997,72,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080014,D,5670,2025,1,307,-1.77,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000024,H,5670,2025,1,307,1936.26,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6620000,D,5670,2025,1,307,258.74,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6090100,D,5670,2025,1,307,117.33,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000026,D,5670,2025,1,307,274.64,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000015,D,5670,2025,1,307,9908.09,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
5790572,D,5670,2025,1,307,29088.479999999996,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4300001,D,5670,2025,1,307,1591.4099999999999,5,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4101103,D,5670,2025,1,307,-910.93,10,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4101102,D,5670,2025,1,307,255.24,17,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080030,D,5670,2025,1,307,-55.58,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080015,D,5670,2025,1,307,-18.55,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000020,H,5670,2025,1,307,4432.61,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080010,D,5670,2025,1,307,-1029.92,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000024,D,5670,2025,1,307,2080.09,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000022,D,5670,2025,1,307,3829.98,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
5790570,D,5670,2025,1,307,27539.619999999995,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
5700200,H,5670,2025,1,307,60201.1,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000026,H,5670,2025,1,307,551.75,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000022,H,5670,2025,1,307,3710.71,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000010,H,5670,2025,1,307,11418.34,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6590002,D,5670,2025,1,307,242.36,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6230004,D,5670,2025,1,307,597.95,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6090101,D,5670,2025,1,307,1706.0800000000002,10,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080014,D,5670,2025,1,307,-1741.23,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4101100,D,5670,2025,1,307,1919.6200000000001,28,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080026,D,5670,2025,1,307,-0.91,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080023,D,5670,2025,1,307,-15.94,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000014,H,5670,2025,1,307,11480.98,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6810000,D,5670,2025,1,307,11159.050000000012,350,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6214002,D,5670,2025,1,307,150.0,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6090001,D,5670,2025,1,307,2325.43,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080030,D,5670,2025,1,307,-1071.31,5,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080023,D,5670,2025,1,307,-255.82,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000021,D,5670,2025,1,307,443.95,6,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000020,D,5670,2025,1,307,2251.62,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4850001,H,5670,2025,1,307,60328.54999999998,29,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4300002,D,5670,2025,1,307,2420.0,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4101103,H,5670,2025,1,307,1591.4099999999999,5,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4000004,H,5670,2025,1,307,-3994.1400000000003,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
2812000,H,5670,2025,1,307,3338.499999999998,132,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7590006,H,5670,2025,1,307,2000.0,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080024,D,5670,2025,1,307,-2.47,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080022,D,5670,2025,1,307,-1.89,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000014,D,5670,2025,1,307,9432.34,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4770000,H,5670,2025,1,307,6686.07,2,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
4000002,H,5670,2025,1,307,3684.289999999999,15,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
2814000,H,5670,2025,1,307,1114.6300000000003,84,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
2813000,H,5670,2025,1,307,3992.48,38,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7080010,D,5670,2025,1,307,-6.03,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000023,H,5670,2025,1,307,3349.8,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000015,H,5670,2025,1,307,10099.98,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
7000011,H,5670,2025,1,307,3431.57,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080040,D,5670,2025,1,307,-217.96,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080020,D,5670,2025,1,307,-31.92,1,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6080015,D,5670,2025,1,307,-28.11,3,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
6000023,D,5670,2025,1,307,2504.89,7,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
2817000,H,5670,2025,1,307,1947.1500000000003,24,MARKET EL NOGAL SL,B56736945,6097,Malaga,"C/ El Olivo, 4",,MARKET EL NOGAL
