CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080010,D,4491,2025,1,227,-10.99,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000015,H,4491,2025,1,227,15579.79,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6817000,D,4491,2025,1,227,200.0,12,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6590002,D,4491,2025,1,227,-9.580000000000002,29,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6214000,D,4491,2025,1,227,941.89,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
4770000,H,4491,2025,1,227,8326.86,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000023,H,4491,2025,1,227,5992.15,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6810000,D,4491,2025,1,227,3274.3799999999997,134,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6214002,D,4491,2025,1,227,150.0,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6090103,D,4491,2025,1,227,2627.34,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6080015,D,4491,2025,1,227,-140.68,6,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6000020,D,4491,2025,1,227,2095.73,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000014,H,4491,2025,1,227,18066.99,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6090101,D,4491,2025,1,227,1551.6399999999999,8,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6020099,D,4491,2025,1,227,62.76,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6000040,D,4491,2025,1,227,35.76,4,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6000024,D,4491,2025,1,227,4405.66,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6000010,D,4491,2025,1,227,10497.019999999999,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7080030,D,4491,2025,1,227,-32.78,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000030,H,4491,2025,1,227,1986.1599999999999,5,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000020,H,4491,2025,1,227,3095.5,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6236024,D,4491,2025,1,227,403.94,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6230004,D,4491,2025,1,227,656.76,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6080020,D,4491,2025,1,227,-21.85,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6000030,D,4491,2025,1,227,1117.7300000000002,15,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
4850001,D,4491,2025,1,227,84306.65,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7080022,D,4491,2025,1,227,-3.8,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7080020,D,4491,2025,1,227,-4.54,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
7000026,H,4491,2025,1,227,1348.63,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
6090100,D,4491,2025,1,227,134.66,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4499,Badajoz,"C/ Francisco Vaca Morales, nº 8",,SUPERMERCADOS PINO RODRIGUEZ SL
