CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080015,D,5661,2025,1,276,-28.92,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000030,D,5661,2025,1,276,345.28999999999996,5,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000023,D,5661,2025,1,276,544.03,7,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000014,H,5661,2025,1,276,9332.91,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6230004,D,5661,2025,1,276,597.95,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000022,D,5661,2025,1,276,2810.2599999999998,8,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000010,D,5661,2025,1,276,5246.06,7,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
4850001,D,5661,2025,1,276,40535.46,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7080022,D,5661,2025,1,276,-3.55,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7080010,D,5661,2025,1,276,-14.23,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000024,H,5661,2025,1,276,1090.29,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000020,H,5661,2025,1,276,1552.54,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6236024,D,5661,2025,1,276,655.39,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6090101,D,5661,2025,1,276,2047.4400000000003,7,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000020,D,5661,2025,1,276,732.51,5,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000014,D,5661,2025,1,276,3086.05,8,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000021,H,5661,2025,1,276,14.35,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000011,H,5661,2025,1,276,2752.97,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
7000010,H,5661,2025,1,276,9731.39,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6090100,D,5661,2025,1,276,39.77,1,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
6000011,D,5661,2025,1,276,801.0699999999999,5,ALIMENTACION CRISLUCA SL,B72586464,6088,Alicante,"C/ Gustavo Adolfo Becquer, 1-2",,ALIMENTACION CRISLUCA SL
