CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000015,H,5443,2025,1,269,11166.86,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000030,D,5443,2025,1,269,623.5999999999999,15,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000024,D,5443,2025,1,269,446.56,7,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
4770000,H,5443,2025,1,269,4149.81,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000030,H,5443,2025,1,269,961.5799999999999,5,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000021,H,5443,2025,1,269,100.21,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000011,H,5443,2025,1,269,3046.37,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000026,D,5443,2025,1,269,207.51000000000002,7,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000024,H,5443,2025,1,269,854.74,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000010,H,5443,2025,1,269,7008.69,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
4850001,D,5443,2025,1,269,40193.69,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000022,H,5443,2025,1,269,1350.28,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000015,D,5443,2025,1,269,44758.79,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7080030,D,5443,2025,1,269,-2.4299999999999997,2,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7080015,D,5443,2025,1,269,-19.9,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7080014,D,5443,2025,1,269,-1.79,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000026,H,5443,2025,1,269,193.55,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000023,H,5443,2025,1,269,890.97,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6620000,D,5443,2025,1,269,61.18,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6590002,D,5443,2025,1,269,13.400000000000002,29,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000010,D,5443,2025,1,269,5392.99,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000020,H,5443,2025,1,269,1174.41,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000023,D,5443,2025,1,269,327.39,5,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000021,D,5443,2025,1,269,87.33,3,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000020,D,5443,2025,1,269,935.17,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000011,D,5443,2025,1,269,2669.9,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
4850002,H,5443,2025,1,269,54.16,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7080010,D,5443,2025,1,269,-23.52,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000014,H,5443,2025,1,269,9268.38,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000014,D,5443,2025,1,269,6553.91,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
7000040,H,5443,2025,1,269,21.32,1,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6080015,D,5443,2025,1,269,-37548.92,3,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
6000022,D,5443,2025,1,269,1802.6299999999997,10,UNIGROUP ALIMENTACION SL,B09943325,5799,Rubí,"C/ Joan Maragall,29",,UNIGROUP ALIMENTACION SL
