CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6090101,D,5724,2025,1,316,1987.6499999999996,10,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6090001,D,5724,2025,1,316,1405.9,7,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6080020,D,5724,2025,1,316,-37.26,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
5700200,H,5724,2025,1,316,172552.53999999998,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4850002,H,5724,2025,1,316,225.02,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4850001,H,5724,2025,1,316,118620.46,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4850001,D,5724,2025,1,316,118620.46,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080030,D,5724,2025,1,316,-8.53,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080022,D,5724,2025,1,316,-0.81,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000026,H,5724,2025,1,316,1473.3,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000022,H,5724,2025,1,316,9248.37,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6590002,D,5724,2025,1,316,-4.339999999999999,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6236024,D,5724,2025,1,316,1001.75,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6080010,D,5724,2025,1,316,-228.48,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000024,D,5724,2025,1,316,1439.08,7,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000022,H,5724,2025,1,316,161.5,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000014,D,5724,2025,1,316,18352.949999999997,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4101103,H,5724,2025,1,316,268.73,5,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4101102,D,5724,2025,1,316,83.10999999999999,10,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4000007,H,5724,2025,1,316,-334.7,3,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
2816000,H,5724,2025,1,316,3808.62,72,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080060,D,5724,2025,1,316,-49.55,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080014,D,5724,2025,1,316,-41.99,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000030,H,5724,2025,1,316,3274.65,6,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000014,H,5724,2025,1,316,26448.43,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000010,H,5724,2025,1,316,20547.57,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6020099,D,5724,2025,1,316,313.77,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000040,D,5724,2025,1,316,74.03,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000020,D,5724,2025,1,316,2649.0900000000006,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
5790572,D,5724,2025,1,316,73657.03,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4850002,D,5724,2025,1,316,225.02,19,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4430002,D,5724,2025,1,316,617.04,20,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4000004,H,5724,2025,1,316,2325.22,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7590006,H,5724,2025,1,316,256.0,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000020,H,5724,2025,1,316,3514.49,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6810000,D,5724,2025,1,316,10184.360000000008,241,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6090103,D,5724,2025,1,316,3391.65,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6080014,D,5724,2025,1,316,-8.78,3,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4770000,H,5724,2025,1,316,11871.099999999999,3,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080020,D,5724,2025,1,316,-2.45,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080015,D,5724,2025,1,316,-23.73,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000060,H,5724,2025,1,316,289.86,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000021,H,5724,2025,1,316,933.35,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6214002,D,5724,2025,1,316,150.0,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6214000,D,5724,2025,1,316,1332.3,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6090100,D,5724,2025,1,316,191.19,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6080015,D,5724,2025,1,316,-334.44,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000022,D,5724,2025,1,316,6499.73,9,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000021,D,5724,2025,1,316,853.72,6,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4720000,D,5724,2025,1,316,8701.339999999998,50,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4000002,H,5724,2025,1,316,5886.03,15,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
2814000,H,5724,2025,1,316,295.86,36,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
2810000,H,5724,2025,1,316,2199.039999999999,48,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080026,D,5724,2025,1,316,-8.59,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080024,D,5724,2025,1,316,-16.57,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080023,D,5724,2025,1,316,-11.92,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080011,D,5724,2025,1,316,-21.07,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6230004,D,5724,2025,1,316,589.37,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6080030,D,5724,2025,1,316,-363.23,4,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000030,D,5724,2025,1,316,3520.9799999999996,21,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000026,D,5724,2025,1,316,845.5200000000001,7,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000015,D,5724,2025,1,316,16259.97,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
5790570,D,5724,2025,1,316,96277.77000000003,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7590010,H,5724,2025,1,316,21.24,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000040,H,5724,2025,1,316,12.27,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000024,H,5724,2025,1,316,5997.32,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000015,H,5724,2025,1,316,20141.56,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000011,H,5724,2025,1,316,5630.700000000001,2,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000023,H,5724,2025,1,316,152.27,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000023,D,5724,2025,1,316,4692.84,7,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000011,D,5724,2025,1,316,3310.9900000000002,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
6000010,D,5724,2025,1,316,18500.57,8,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
5700200,D,5724,2025,1,316,118395.44000000005,31,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4430001,D,5724,2025,1,316,266.90999999999997,6,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4300001,D,5724,2025,1,316,294.43,6,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4101100,D,5724,2025,1,316,1533.3,26,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4000001,H,5724,2025,1,316,72794.6,32,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
2811000,H,5724,2025,1,316,1250.0,12,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7080010,D,5724,2025,1,316,-13.33,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
7000023,H,5724,2025,1,316,9269.23,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4300002,D,5724,2025,1,316,309.76,1,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
4101103,D,5724,2025,1,316,-32.78,12,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
2813000,H,5724,2025,1,316,2630.839999999999,73,OSCANA SUPERMERCADOS SL,B55451330,6214,Manacor,"C/ Major, 1",,OSCANA SUPERMERCADOS SL
