CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000040,H,5626,2025,1,298,41.32,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000030,H,5626,2025,1,298,2294.7799999999997,6,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6810000,D,5626,2025,1,298,10383.379999999994,231,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6214000,D,5626,2025,1,298,965.07,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6090103,D,5626,2025,1,298,851.02,2,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000026,D,5626,2025,1,298,335.62,9,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
5790572,D,5626,2025,1,298,39954.42999999999,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
5700200,D,5626,2025,1,298,85670.43,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4650000,H,5626,2025,1,298,6669.68,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4401102,D,5626,2025,1,298,3558.7099999999996,27,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4401102,H,5626,2025,1,298,0.0,27,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4101103,H,5626,2025,1,298,183.84,5,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4000004,H,5626,2025,1,298,1891.25,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
2816000,H,5626,2025,1,298,4069.8199999999956,75,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
2815000,H,5626,2025,1,298,256.38999999999993,36,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080022,D,5626,2025,1,298,-4.34,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000015,H,5626,2025,1,298,17537.96,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000021,D,5626,2025,1,298,122.1,6,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
5700200,H,5626,2025,1,298,85670.43,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4720000,D,5626,2025,1,298,6462.910000000001,45,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4430002,D,5626,2025,1,298,2071.96,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4000002,H,5626,2025,1,298,2590.7000000000007,16,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4000001,H,5626,2025,1,298,53206.66,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080020,D,5626,2025,1,298,-4.25,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080014,D,5626,2025,1,298,-13.9,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000022,H,5626,2025,1,298,6285.11,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6214002,D,5626,2025,1,298,150.0,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6090100,D,5626,2025,1,298,135.49,2,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6080015,D,5626,2025,1,298,-107.80000000000001,6,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000020,D,5626,2025,1,298,1892.27,9,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4850002,D,5626,2025,1,298,76.88999999999999,14,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4770000,H,5626,2025,1,298,8474.380000000001,2,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080030,D,5626,2025,1,298,-0.1,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080015,D,5626,2025,1,298,-22.98,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000024,H,5626,2025,1,298,5071.4,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000014,H,5626,2025,1,298,16848.26,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000040,D,5626,2025,1,298,39.54,3,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000023,D,5626,2025,1,298,3343.3,9,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4751000,H,5626,2025,1,298,199.41,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4101102,D,5626,2025,1,298,106.5,17,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7590010,H,5626,2025,1,298,38.62,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080024,D,5626,2025,1,298,-2.07,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080010,D,5626,2025,1,298,-18.09,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000026,H,5626,2025,1,298,426.31,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000023,H,5626,2025,1,298,6714.74,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000011,H,5626,2025,1,298,6663.56,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6420000,D,5626,2025,1,298,1981.34,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
5790570,D,5626,2025,1,298,37727.84,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4101100,D,5626,2025,1,298,1434.4799999999998,27,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
2813000,H,5626,2025,1,298,93.74,24,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080011,D,5626,2025,1,298,-2.78,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6950000,D,5626,2025,1,298,351.75000000000006,12,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6590002,D,5626,2025,1,298,-19.819999999999993,29,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6090101,D,5626,2025,1,298,1031.3600000000001,8,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000015,D,5626,2025,1,298,13584.1,9,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000011,D,5626,2025,1,298,5496.790000000001,9,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4850001,D,5626,2025,1,298,85747.32,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4760000,H,5626,2025,1,298,2379.8199999999997,2,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
4101103,D,5626,2025,1,298,-1863.2400000000002,27,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
2814000,H,5626,2025,1,298,338.70000000000005,36,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7080023,D,5626,2025,1,298,-1.39,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
7000021,H,5626,2025,1,298,327.1,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6236024,D,5626,2025,1,298,650.3,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6230004,D,5626,2025,1,298,597.95,1,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
6000030,D,5626,2025,1,298,1170.6499999999999,21,HONGYUAN INVESTMENT SL,B56347313,6041,Madrid,"C/ Maria Cristina, 9",,HONGYUAN INVESTMENT SL
