CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080014,D,5389,2025,1,237,-55.0,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7080010,D,5389,2025,1,237,-2.81,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7000022,H,5389,2025,1,237,10396.59,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6080030,D,5389,2025,1,237,-11.04,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6080014,D,5389,2025,1,237,-132.45999999999998,3,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
4770000,H,5389,2025,1,237,12845.15,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7590010,H,5389,2025,1,237,113.76,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7000026,H,5389,2025,1,237,913.75,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6230004,D,5389,2025,1,237,597.95,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6000023,D,5389,2025,1,237,3258.41,10,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6000015,D,5389,2025,1,237,23465.81,10,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
6000011,D,5389,2025,1,237,5031.58,8,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7080023,D,5389,2025,1,237,-0.89,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
7000023,H,5389,2025,1,237,6410.82,1,SHERI ZAYYAN 2022 SL,B67844621,5743,Vilassar de Mar,"C/ Narcís Monturiol,72-74",,SHERI ZAYYAN SL
