CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7550000,H,5457,2025,1,271,469.08,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
7000022,H,5457,2025,1,271,11854.54,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6812000,D,5457,2025,1,271,4105.119999999997,60,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6230004,D,5457,2025,1,271,940.0,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6090103,D,5457,2025,1,271,3505.45,2,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6000030,D,5457,2025,1,271,1934.2099999999996,22,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
4850002,H,5457,2025,1,271,2906.72,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
2817000,H,5457,2025,1,271,322.37000000000006,24,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
7080010,D,5457,2025,1,271,-1222.91,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
7000026,H,5457,2025,1,271,944.43,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
7000011,H,5457,2025,1,271,7353.43,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6814000,D,5457,2025,1,271,774.48,24,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6400000,D,5457,2025,1,271,18145.72,1,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
6000023,D,5457,2025,1,271,2829.42,8,MUSEDEC SL,B10533024,5813,Palma de Mallorca,"C/ OMS, 35",,MUSEDEC SL
