CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7590006,H,5753,2025,1,324,1792.0,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7080040,D,5753,2025,1,324,-8.26,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7080020,D,5753,2025,1,324,-17.09,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7000015,H,5753,2025,1,324,20868.45,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6000020,D,5753,2025,1,324,2950.18,6,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6000014,D,5753,2025,1,324,13044.23,7,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
5700200,D,5753,2025,1,324,110429.30999999998,31,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4430002,D,5753,2025,1,324,1040.08,30,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4101103,H,5753,2025,1,324,284.34000000000003,5,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4101103,D,5753,2025,1,324,659.2800000000004,26,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
2817000,H,5753,2025,1,324,1605.65,12,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7550000,H,5753,2025,1,324,86.66,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7080010,D,5753,2025,1,324,-141.63,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7000040,H,5753,2025,1,324,264.46,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7000021,H,5753,2025,1,324,847.77,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6420000,D,5753,2025,1,324,3704.59,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6000030,D,5753,2025,1,324,1340.5300000000002,25,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4770000,H,5753,2025,1,324,11360.099999999999,3,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4300001,D,5753,2025,1,324,330.22,6,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
4000003,H,5753,2025,1,324,28.319999999999993,2,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7590010,H,5753,2025,1,324,37.92,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7080024,D,5753,2025,1,324,-25.31,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
7080011,D,5753,2025,1,324,-23.36,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6810000,D,5753,2025,1,324,1605.65,12,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6080030,D,5753,2025,1,324,-48.88,2,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6000022,H,5753,2025,1,324,49.98,1,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
6000022,D,5753,2025,1,324,11281.64,12,TORRESANO COMERCIO SL,B19927250,6246,Madrid,"C/ Panama, 10",,TORRESANO COMERCIO SL
