CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080030,D,5718,2025,1,317,-128.0,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7080022,D,5718,2025,1,317,-4.08,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000015,H,5718,2025,1,317,17411.2,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6590002,D,5718,2025,1,317,-4.360000000000001,12,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4850002,D,5718,2025,1,317,206.23,10,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4850002,H,5718,2025,1,317,206.23,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4101103,D,5718,2025,1,317,-2355.71,7,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4000004,H,5718,2025,1,317,1783.05,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4000001,H,5718,2025,1,317,53912.09,26,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6090103,D,5718,2025,1,317,-3389.4199999999996,2,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4000002,H,5718,2025,1,317,3763.1299999999997,14,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000026,H,5718,2025,1,317,947.76,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000022,H,5718,2025,1,317,4877.23,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000011,H,5718,2025,1,317,3818.21,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000030,D,5718,2025,1,317,1469.3799999999999,17,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000015,D,5718,2025,1,317,12244.23,8,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4850001,H,5718,2025,1,317,78644.36000000002,31,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4430002,D,5718,2025,1,317,347.0799999999999,22,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000010,H,5718,2025,1,317,13468.69,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6214002,D,5718,2025,1,317,150.0,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6090100,D,5718,2025,1,317,130.23,2,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000023,D,5718,2025,1,317,4965.75,8,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000020,D,5718,2025,1,317,1961.21,8,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4300001,D,5718,2025,1,317,171.74,5,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4101103,H,5718,2025,1,317,171.74,5,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7080023,D,5718,2025,1,317,-2.72,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000030,H,5718,2025,1,317,2436.9,4,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6090101,D,5718,2025,1,317,1217.1599999999999,6,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6080022,D,5718,2025,1,317,-986.0699999999999,5,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000024,D,5718,2025,1,317,4380.38,8,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000021,D,5718,2025,1,317,347.7,4,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
5790570,D,5718,2025,1,317,25518.340000000004,23,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4720000,D,5718,2025,1,317,6137.740000000001,40,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
4101102,D,5718,2025,1,317,55.11,6,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7080015,D,5718,2025,1,317,-5.37,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
7000014,H,5718,2025,1,317,14181.7,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6236024,D,5718,2025,1,317,541.8,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6214000,D,5718,2025,1,317,884.22,1,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6080015,D,5718,2025,1,317,-92.88,6,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
6000022,D,5718,2025,1,317,5424.610000000001,13,S.S.F.H.RANJHA SL,B05442256,6202,Calafell,"C/ RIN, 7",,S.S.F.H.RANJHA SL
