CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080023,D,5619,2025,1,296,-15.57,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000010,H,5619,2025,1,296,11873.28,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6810000,D,5619,2025,1,296,10394.539999999992,72,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6236024,D,5619,2025,1,296,469.87,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000010,D,5619,2025,1,296,9627.82,8,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
5700200,H,5619,2025,1,296,80525.00000000001,31,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4850002,D,5619,2025,1,296,166.77,23,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4850002,H,5619,2025,1,296,166.77,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4850001,H,5619,2025,1,296,80691.77,31,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000024,H,5619,2025,1,296,3096.89,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6620000,D,5619,2025,1,296,39.84,3,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6090100,D,5619,2025,1,296,119.88,2,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6020099,D,5619,2025,1,296,247.45,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000030,D,5619,2025,1,296,779.3399999999999,17,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000024,D,5619,2025,1,296,3300.91,8,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000021,D,5619,2025,1,296,448.3999999999999,6,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000015,D,5619,2025,1,296,13521.980000000001,8,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4720000,D,5619,2025,1,296,5522.669999999997,46,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4000001,H,5619,2025,1,296,48877.92000000001,33,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
2814000,H,5619,2025,1,296,364.51,24,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6080014,D,5619,2025,1,296,-32.910000000000004,3,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000022,D,5619,2025,1,296,1369.5899999999997,8,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4650000,H,5619,2025,1,296,4186.6,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4401102,H,5619,2025,1,296,0.0,24,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4300001,D,5619,2025,1,296,226.61,5,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4101103,H,5619,2025,1,296,226.61,5,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4101102,D,5619,2025,1,296,18.83,4,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7080020,D,5619,2025,1,296,-3.84,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7080015,D,5619,2025,1,296,-42.66,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7080014,D,5619,2025,1,296,-34.13,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000060,H,5619,2025,1,296,0.54,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000040,H,5619,2025,1,296,53.72,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000026,H,5619,2025,1,296,285.35,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000023,H,5619,2025,1,296,4779.36,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000020,H,5619,2025,1,296,2716.85,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000015,H,5619,2025,1,296,15222.47,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6090001,D,5619,2025,1,296,689.2900000000001,7,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6000020,D,5619,2025,1,296,1879.23,8,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
5700200,D,5619,2025,1,296,80525.00000000001,31,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4401102,D,5619,2025,1,296,2997.2099999999996,24,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4101103,D,5619,2025,1,296,-985.46,14,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
4101100,D,5619,2025,1,296,1352.3399999999997,28,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7080030,D,5619,2025,1,296,-5.07,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7080010,D,5619,2025,1,296,-37.4,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000030,H,5619,2025,1,296,1685.88,5,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
7000021,H,5619,2025,1,296,487.02,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6400000,D,5619,2025,1,296,4525.04,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
6230004,D,5619,2025,1,296,597.95,1,COMERCIAL CAPTAI 2021 SL,B16763419,6034,Santa Coloma,"C/ Santa Anna, 6",,COMERCIAL CAPTAI 2021 SL
