CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080015,D,5740,2025,1,321,-9.88,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000023,H,5740,2025,1,321,13859.55,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000021,H,5740,2025,1,321,646.41,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6090100,D,5740,2025,1,321,148.59,2,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4850001,H,5740,2025,1,321,99391.94000000002,31,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4101103,D,5740,2025,1,321,14.799999999999997,12,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4000001,H,5740,2025,1,321,58148.819999999985,33,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7080023,D,5740,2025,1,321,-45.05,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7080014,D,5740,2025,1,321,-24.11,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000040,H,5740,2025,1,321,33.17,3,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000024,H,5740,2025,1,321,6336.93,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000020,H,5740,2025,1,321,2469.1,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000021,D,5740,2025,1,321,655.0600000000001,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000015,D,5740,2025,1,321,27825.769999999997,8,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000010,D,5740,2025,1,321,12879.650000000001,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4850002,H,5740,2025,1,321,111.35,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4720000,D,5740,2025,1,321,6972.53,41,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4000004,H,5740,2025,1,321,2062.08,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4000002,H,5740,2025,1,321,4427.030000000002,15,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7080024,D,5740,2025,1,321,-8.14,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6230004,D,5740,2025,1,321,589.37,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6080015,D,5740,2025,1,321,-15261.39,3,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000023,D,5740,2025,1,321,4023.95,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000020,D,5740,2025,1,321,1988.2399999999998,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4770000,H,5740,2025,1,321,10094.53,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4300001,D,5740,2025,1,321,363.38,5,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4101100,D,5740,2025,1,321,472.31999999999994,20,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7080010,D,5740,2025,1,321,-5.08,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000011,H,5740,2025,1,321,5577.24,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6214000,D,5740,2025,1,321,1114.83,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000026,D,5740,2025,1,321,659.02,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000024,D,5740,2025,1,321,2418.06,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000011,D,5740,2025,1,321,4508.15,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000022,H,5740,2025,1,321,5426.58,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6090103,D,5740,2025,1,321,2531.99,2,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6090001,D,5740,2025,1,321,727.74,5,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
5790572,D,5740,2025,1,321,44366.91999999999,31,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
5790570,D,5740,2025,1,321,53711.5,31,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4850001,D,5740,2025,1,321,99391.94,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4430002,D,5740,2025,1,321,428.59999999999997,20,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4101103,H,5740,2025,1,321,363.38,5,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000030,H,5740,2025,1,321,2903.92,6,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000026,H,5740,2025,1,321,940.43,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000015,H,5740,2025,1,321,14650.31,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000014,H,5740,2025,1,321,19453.84,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7000010,H,5740,2025,1,321,16988.85,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6590002,D,5740,2025,1,321,170.26,30,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6214002,D,5740,2025,1,321,150.0,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000030,D,5740,2025,1,321,2626.2,19,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4000007,H,5740,2025,1,321,136.96,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6090101,D,5740,2025,1,321,1401.0000000000002,10,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
5700200,H,5740,2025,1,321,99280.59000000001,31,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4101102,D,5740,2025,1,321,71.99,7,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
7080030,D,5740,2025,1,321,-8.01,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6620000,D,5740,2025,1,321,31.91,8,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6236024,D,5740,2025,1,321,1218.47,1,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000022,D,5740,2025,1,321,4688.51,9,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
6000014,D,5740,2025,1,321,12540.08,8,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
5700200,D,5740,2025,1,321,99280.59000000001,31,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
4850002,D,5740,2025,1,321,111.35,13,PROUL MALLORCA SL,B57889149,6232,Palma de Mallorca,"C/ del Poeta Costa i Llobera, 121",,PROUL MALLORCA SL
