CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7590010,H,4872,2025,1,239,37.92,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7080015,D,4872,2025,1,239,-10.02,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7080014,D,4872,2025,1,239,-26.61,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000060,H,4872,2025,1,239,0.82,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000030,H,4872,2025,1,239,1582.2900000000002,6,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000015,H,4872,2025,1,239,16384.64,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6959000,D,4872,2025,1,239,193.74999999999997,12,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000040,D,4872,2025,1,239,118.91999999999999,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000020,D,4872,2025,1,239,2239.51,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000010,D,4872,2025,1,239,13013.640000000001,6,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
5700200,H,4872,2025,1,239,71104.98,31,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
2812001,H,4872,2025,1,239,114.37000000000002,12,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7080023,D,4872,2025,1,239,-12.73,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7080022,D,4872,2025,1,239,-2.23,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000026,H,4872,2025,1,239,360.82,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000022,H,4872,2025,1,239,5196.85,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000020,H,4872,2025,1,239,2729.93,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6090103,D,4872,2025,1,239,2166.06,2,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000026,D,4872,2025,1,239,258.43,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000022,D,4872,2025,1,239,4617.76,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000011,D,4872,2025,1,239,3116.11,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
5790572,D,4872,2025,1,239,37087.06999999999,31,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
5790570,D,4872,2025,1,239,31536.159999999996,31,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4850002,D,4872,2025,1,239,118.53000000000003,17,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4770000,H,4872,2025,1,239,7110.33,2,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7080030,D,4872,2025,1,239,-9.26,2,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
7000040,H,4872,2025,1,239,123.97,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000030,D,4872,2025,1,239,1158.6799999999998,16,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000015,D,4872,2025,1,239,14479.98,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6000014,D,4872,2025,1,239,12764.279999999999,7,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4850002,H,4872,2025,1,239,118.53,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4720000,D,4872,2025,1,239,6431.989999999998,46,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4101103,H,4872,2025,1,239,158.52,4,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
4000002,H,4872,2025,1,239,4529.159999999999,15,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
6236024,D,4872,2025,1,239,278.77,1,MARKET ROBLES ALICANTE S.L.,B42625228,4975,Alicante,"Calderón de la Barca 2, 8",,MARKET ROBLES ALICANTE S.L.
