CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6000010,D,5556,2025,1,328,11198.460000000001,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4720000,D,5556,2025,1,328,7050.240000000001,20,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4101103,H,5556,2025,1,328,228.48999999999998,5,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4101102,D,5556,2025,1,328,20.08,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080015,D,5556,2025,1,328,-21.71,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000030,H,5556,2025,1,328,1925.48,4,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000023,H,5556,2025,1,328,5104.4,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000020,H,5556,2025,1,328,3685.1,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000010,H,5556,2025,1,328,13704.09,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000021,D,5556,2025,1,328,575.84,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
5790570,D,5556,2025,1,328,30051.359999999997,22,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080024,D,5556,2025,1,328,-12.39,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000026,H,5556,2025,1,328,604.46,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000022,H,5556,2025,1,328,9664.08,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080023,D,5556,2025,1,328,-8.08,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080011,D,5556,2025,1,328,-7.69,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000022,D,5556,2025,1,328,8211.429999999998,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000011,D,5556,2025,1,328,5198.62,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4850001,H,5556,2025,1,328,95694.56000000003,30,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4430002,D,5556,2025,1,328,512.5999999999999,19,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4300001,D,5556,2025,1,328,364.24,6,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7590010,H,5556,2025,1,328,112.19,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080030,D,5556,2025,1,328,-13.86,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080010,D,5556,2025,1,328,-13.71,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000021,H,5556,2025,1,328,730.95,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000014,H,5556,2025,1,328,20526.73,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000030,D,5556,2025,1,328,1216.9699999999998,18,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000014,D,5556,2025,1,328,13477.21,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
5790572,D,5556,2025,1,328,35751.950000000004,22,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4850002,D,5556,2025,1,328,167.98999999999998,16,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4770000,H,5556,2025,1,328,9148.34,2,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080022,D,5556,2025,1,328,-42.06,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080014,D,5556,2025,1,328,-19.34,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6080015,D,5556,2025,1,328,-104.88000000000002,6,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000026,D,5556,2025,1,328,547.59,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000015,D,5556,2025,1,328,16119.8,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
5700200,H,5556,2025,1,328,68820.68,22,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4850002,H,5556,2025,1,328,167.99,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4101103,D,5556,2025,1,328,91.92999999999999,8,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4000001,H,5556,2025,1,328,64330.06,13,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7080020,D,5556,2025,1,328,-15.65,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000040,H,5556,2025,1,328,97.4,2,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000015,H,5556,2025,1,328,20438.75,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000011,H,5556,2025,1,328,6007.72,2,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6590002,D,5556,2025,1,328,17.220000000000002,22,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000024,D,5556,2025,1,328,3666.2099999999996,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000023,H,5556,2025,1,328,289.08,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000023,D,5556,2025,1,328,3192.13,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000020,D,5556,2025,1,328,2481.04,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4850001,D,5556,2025,1,328,95694.56,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4101100,D,5556,2025,1,328,2375.54,22,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
4000002,H,5556,2025,1,328,8591.52,7,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
7000024,H,5556,2025,1,328,4067.11,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6020099,D,5556,2025,1,328,289.08,1,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
6000040,D,5556,2025,1,328,90.92,4,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
5700200,D,5556,2025,1,328,95526.57000000004,30,SUPERMERCADOS SUCO SL,B44701092,5961,Granada,Calle Agustina de Aragón 2,,SUPERMERCADO SUCO SL
