CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6620000,D,4272,2025,1,227,92.77,6,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6214002,D,4272,2025,1,227,150.0,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6090100,D,4272,2025,1,227,112.78999999999999,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080011,D,4272,2025,1,227,-3.05,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000014,H,4272,2025,1,227,15607.12,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6590002,D,4272,2025,1,227,-4.75,29,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000022,D,4272,2025,1,227,2594.48,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000014,D,4272,2025,1,227,10650.920000000002,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080010,D,4272,2025,1,227,-13.61,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000030,H,4272,2025,1,227,2351.67,5,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6230004,D,4272,2025,1,227,656.76,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6214000,D,4272,2025,1,227,731.02,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6080015,D,4272,2025,1,227,-43.17,6,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000040,D,4272,2025,1,227,222.06,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000021,D,4272,2025,1,227,196.22,4,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000020,D,4272,2025,1,227,1365.49,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000015,D,4272,2025,1,227,10220.66,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
4770000,H,4272,2025,1,227,6701.69,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000060,H,4272,2025,1,227,14.86,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6236024,D,4272,2025,1,227,338.35,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6090001,D,4272,2025,1,227,947.2699999999999,6,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000026,D,4272,2025,1,227,138.32,4,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000023,D,4272,2025,1,227,1865.8200000000002,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000011,D,4272,2025,1,227,3198.39,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
4850001,D,4272,2025,1,227,65245.11,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7590010,H,4272,2025,1,227,55.52,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080030,D,4272,2025,1,227,-4.87,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000024,H,4272,2025,1,227,2469.21,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000021,H,4272,2025,1,227,238.51,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000015,H,4272,2025,1,227,12092.16,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6090103,D,4272,2025,1,227,1766.48,2,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000024,D,4272,2025,1,227,2424.1,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
4850002,H,4272,2025,1,227,61.48,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080015,D,4272,2025,1,227,-4.4,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080014,D,4272,2025,1,227,-16.29,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000011,H,4272,2025,1,227,4321.41,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6810000,D,4272,2025,1,227,5148.950000000003,108,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6090101,D,4272,2025,1,227,1378.37,5,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000010,D,4272,2025,1,227,10815.210000000001,7,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080023,D,4272,2025,1,227,-10.77,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7080020,D,4272,2025,1,227,-0.91,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6020099,D,4272,2025,1,227,83.78,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
6000030,D,4272,2025,1,227,1472.4499999999998,18,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7590006,H,4272,2025,1,227,357.0,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
7000040,H,4272,2025,1,227,231.4,1,SUPERMERCADOS PINO RODRIGUEZ SL,B06684633,4186,Montijo,Calle Arriba nº 4,,SUPERMERCADOS PINO RODRIGUEZ SL
