CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080023,D,5213,2025,1,202,-5.99,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080014,D,5213,2025,1,202,-6.76,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6590002,D,5213,2025,1,202,1.1199999999999999,15,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000040,D,5213,2025,1,202,83.45000000000002,7,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4850001,D,5213,2025,1,202,68271.1,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4770000,H,5213,2025,1,202,6707.150000000001,2,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4650000,H,5213,2025,1,202,2274.47,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4300001,D,5213,2025,1,202,325.51,6,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2810053,H,5213,2025,1,202,631.25,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000030,H,5213,2025,1,202,1909.33,5,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000014,H,5213,2025,1,202,14915.99,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6812001,D,5213,2025,1,202,94.59,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6400000,D,5213,2025,1,202,2640.32,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000024,D,5213,2025,1,202,3801.41,8,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000022,D,5213,2025,1,202,4633.070000000001,8,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4720000,D,5213,2025,1,202,4491.46,45,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4101102,D,5213,2025,1,202,79.42000000000002,8,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4000004,H,5213,2025,1,202,1620.18,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2812001,H,5213,2025,1,202,94.59,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080010,D,5213,2025,1,202,-11.14,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000015,H,5213,2025,1,202,13055.15,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000010,H,5213,2025,1,202,11121.86,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6810053,D,5213,2025,1,202,631.25,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6214000,D,5213,2025,1,202,768.87,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
5790570,D,5213,2025,1,202,30723.079999999994,30,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
5700200,D,5213,2025,1,202,68201.25000000001,30,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4850002,D,5213,2025,1,202,69.85000000000001,14,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4850002,H,5213,2025,1,202,69.85,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4850001,H,5213,2025,1,202,68271.1,30,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4000001,H,5213,2025,1,202,37017.18,28,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2812000,H,5213,2025,1,202,16547.36999999999,84,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080022,D,5213,2025,1,202,-6.15,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000040,H,5213,2025,1,202,103.31,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000026,H,5213,2025,1,202,364.85,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000024,H,5213,2025,1,202,4204.91,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6090100,D,5213,2025,1,202,105.62,2,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000021,D,5213,2025,1,202,305.79,5,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4000002,H,5213,2025,1,202,4409.380000000001,17,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2818000,H,5213,2025,1,202,247.30999999999997,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7550000,H,5213,2025,1,202,386.48,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080040,D,5213,2025,1,202,-16.53,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080030,D,5213,2025,1,202,-2.72,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000022,H,5213,2025,1,202,6677.5,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6817000,D,5213,2025,1,202,3811.0000000000005,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6810000,D,5213,2025,1,202,39409.06999999993,180,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6420000,D,5213,2025,1,202,268.48,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2816000,H,5213,2025,1,202,3194.039999999996,36,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2811000,H,5213,2025,1,202,18750.0,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6402000,D,5213,2025,1,202,386.48,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6214002,D,5213,2025,1,202,150.0,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6090103,D,5213,2025,1,202,2328.3900000000003,2,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6090101,D,5213,2025,1,202,1516.9,10,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6080030,D,5213,2025,1,202,-146.18,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6080022,D,5213,2025,1,202,-7.6,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4101103,H,5213,2025,1,202,233.74,5,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2814000,H,5213,2025,1,202,519.57,24,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7590010,H,5213,2025,1,202,75.84,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7080015,D,5213,2025,1,202,-13.17,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000023,H,5213,2025,1,202,3661.36,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000011,H,5213,2025,1,202,3215.87,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6814000,D,5213,2025,1,202,270.72,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6080020,D,5213,2025,1,202,-8.16,2,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000026,D,5213,2025,1,202,247.12,5,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000014,D,5213,2025,1,202,8981.060000000001,8,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6000010,D,5213,2025,1,202,8149.23,8,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
5700200,H,5213,2025,1,202,68201.25000000001,30,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4101103,D,5213,2025,1,202,-1028.83,12,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
4101100,D,5213,2025,1,202,333.86999999999995,27,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
2817000,H,5213,2025,1,202,3842.5,24,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000021,H,5213,2025,1,202,393.24,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
7000020,H,5213,2025,1,202,1949.12,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6236024,D,5213,2025,1,202,422.59,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6230004,D,5213,2025,1,202,570.12,1,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
6090001,D,5213,2025,1,202,548.5500000000001,4,BURLADA EXPRESS SL,B71400675,5542,Pamplona,Calle Donantes de Sangre 21,,BURLADA EXPRESS SL
