CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000060,H,5791,2025,1,325,7.43,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000021,H,5791,2025,1,325,138.75,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000040,D,5791,2025,1,325,7.92,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
5790572,D,5791,2025,1,325,16082.119999999999,7,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
5790570,D,5791,2025,1,325,5347.67,7,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
4770000,H,5791,2025,1,325,2420.85,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7080014,D,5791,2025,1,325,-11.24,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000040,H,5791,2025,1,325,8.26,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000026,H,5791,2025,1,325,249.83,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000010,H,5791,2025,1,325,3270.82,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6420000,D,5791,2025,1,325,594.81,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6236024,D,5791,2025,1,325,514.62,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000020,D,5791,2025,1,325,2114.11,5,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000015,D,5791,2025,1,325,10814.64,6,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000020,H,5791,2025,1,325,822.07,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000023,D,5791,2025,1,325,2294.7200000000003,5,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000022,D,5791,2025,1,325,5358.07,4,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
5700200,H,5791,2025,1,325,22367.050000000003,7,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
4850002,D,5791,2025,1,325,42.309999999999995,5,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
4000004,H,5791,2025,1,325,63241.61,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
4000003,H,5791,2025,1,325,-283.45,2,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7080022,D,5791,2025,1,325,-2.16,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7080011,D,5791,2025,1,325,-2.3,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
7000022,H,5791,2025,1,325,2745.07,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6080014,D,5791,2025,1,325,-99.64,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000030,D,5791,2025,1,325,1134.7900000000004,13,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000022,H,5791,2025,1,325,83.82,1,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
6000014,D,5791,2025,1,325,45782.15,6,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
4101103,D,5791,2025,1,325,42.0,7,GRUPO ANGAMI 17 SL,B75267591,6288,Madrid,"Calle Ercilla, 21",,GRUPO ANGAMI 17 SL
