CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080030,D,5237,2025,1,264,-8.39,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
7080024,D,5237,2025,1,264,-3.77,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
7080020,D,5237,2025,1,264,-2.23,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
7000040,H,5237,2025,1,264,70.25,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
7000021,H,5237,2025,1,264,523.03,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
7000020,H,5237,2025,1,264,3308.85,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
6214002,D,5237,2025,1,264,150.0,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
6090001,D,5237,2025,1,264,903.7199999999999,5,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
4850001,D,5237,2025,1,264,83857.67,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
4300002,D,5237,2025,1,264,1270.5,1,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
4101100,D,5237,2025,1,264,1187.0500000000002,30,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
2815000,H,5237,2025,1,264,749.12,12,EXPRESS RAMBLA GARCIA LORCA SL,B42920660,5569,Almeria,"Calle Gerona, 15",,EXPRESS GERONA - MARTINEZ CAMPOS SL
