CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6810000,D,5239,2025,1,216,12322.639999999998,156,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6080015,D,5239,2025,1,216,-222.32999999999998,4,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6020099,D,5239,2025,1,216,200.87,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6000023,H,5239,2025,1,216,200.87,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
5790572,D,5239,2025,1,216,16572.54,18,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4850002,D,5239,2025,1,216,77.33999999999999,14,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4101100,D,5239,2025,1,216,279.68,14,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
2814000,H,5239,2025,1,216,1321.68,60,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7590010,H,5239,2025,1,216,37.92,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6090001,D,5239,2025,1,216,521.88,4,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6000022,D,5239,2025,1,216,4838.9400000000005,8,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4850001,H,5239,2025,1,216,69365.15,30,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4000001,H,5239,2025,1,216,35381.29000000001,25,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7080011,D,5239,2025,1,216,-2.11,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7000040,H,5239,2025,1,216,103.1,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7000011,H,5239,2025,1,216,3313.19,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6090103,D,5239,2025,1,216,2283.31,2,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6000023,D,5239,2025,1,216,3741.1099999999997,8,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6000015,D,5239,2025,1,216,8996.98,8,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4850002,H,5239,2025,1,216,77.34,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
2812000,H,5239,2025,1,216,4302.849999999999,36,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7080023,D,5239,2025,1,216,-4.62,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7080015,D,5239,2025,1,216,-18.36,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6214002,D,5239,2025,1,216,150.0,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6214000,D,5239,2025,1,216,779.86,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
6000010,D,5239,2025,1,216,7080.090000000001,8,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
5700200,D,5239,2025,1,216,69287.81,30,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4430002,D,5239,2025,1,216,269.58,17,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4430001,D,5239,2025,1,216,11.55,5,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4401102,H,5239,2025,1,216,0.0,13,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
4000004,H,5239,2025,1,216,1633.48,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
2816000,H,5239,2025,1,216,5618.460000000001,48,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7080014,D,5239,2025,1,216,-16.48,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7080010,D,5239,2025,1,216,-13.96,1,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
7000030,H,5239,2025,1,216,1608.52,6,RAFAELIA 2711 SL,B02668184,5571,Gijon,Calle Marques de San Esteban 12,,RAFAELIA 2711 SL
