CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7590006,H,5379,2025,1,230,125.8,2,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000026,H,5379,2025,1,230,589.58,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000022,H,5379,2025,1,230,4901.97,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000010,H,5379,2025,1,230,8332.42,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000030,D,5379,2025,1,230,714.42,13,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000026,D,5379,2025,1,230,475.86,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7080023,D,5379,2025,1,230,-16.31,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7080011,D,5379,2025,1,230,-13.54,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6590002,D,5379,2025,1,230,-4.87,29,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6214002,D,5379,2025,1,230,150.0,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6214000,D,5379,2025,1,230,730.84,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6090100,D,5379,2025,1,230,102.80000000000001,2,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000023,H,5379,2025,1,230,102.7,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000022,D,5379,2025,1,230,4347.849999999999,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7080015,D,5379,2025,1,230,-30.48,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000021,H,5379,2025,1,230,268.56,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6811000,D,5379,2025,1,230,1549.5900000000001,12,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6810000,D,5379,2025,1,230,8061.450000000001,72,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000040,D,5379,2025,1,230,115.24000000000001,7,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000024,D,5379,2025,1,230,2674.3300000000004,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000020,D,5379,2025,1,230,1702.89,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000015,D,5379,2025,1,230,11087.35,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
6000014,D,5379,2025,1,230,9134.23,8,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000040,H,5379,2025,1,230,119.81,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000024,H,5379,2025,1,230,2806.01,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
7000020,H,5379,2025,1,230,2381.18,1,"ANER ENERGIA, S.L.",B39749379,5731,Santander,"Calle Marqués de la Hermida, 14,",,"ANER ENERGIA, S.L."
