CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080010,D,5322,2025,1,266,-64.48,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
7000021,H,5322,2025,1,266,859.25,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6400001,D,5322,2025,1,266,650.55,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6080015,D,5322,2025,1,266,-199.57999999999998,6,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6080014,D,5322,2025,1,266,-611.21,2,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
5790572,D,5322,2025,1,266,78585.42000000004,30,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
4101100,D,5322,2025,1,266,787.4599999999999,27,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
7080030,D,5322,2025,1,266,-4.75,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
7080015,D,5322,2025,1,266,-6.79,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
7000023,H,5322,2025,1,266,3926.3,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
7000011,H,5322,2025,1,266,7935.43,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6090100,D,5322,2025,1,266,156.15,2,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6000040,D,5322,2025,1,266,67.55,2,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
6000030,D,5322,2025,1,266,825.8,12,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
4850002,D,5322,2025,1,266,149.38,14,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
4850002,H,5322,2025,1,266,149.38,1,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
4101102,D,5322,2025,1,266,52.47,15,MERCADOS NAZA SL,B16907891,5667,Madrid,Calle Santa Engracia 115,,MERCADOS NAZA SL
