CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080011,D,5469,2025,1,329,-7.02,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000026,H,5469,2025,1,329,651.61,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000024,H,5469,2025,1,329,3847.51,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000010,H,5469,2025,1,329,12040.33,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
5790572,D,5469,2025,1,329,36797.75,29,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
4850001,D,5469,2025,1,329,80717.75,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
4101103,H,5469,2025,1,329,131.16,5,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080022,D,5469,2025,1,329,-1.91,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080015,D,5469,2025,1,329,-1.05,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080010,D,5469,2025,1,329,-3.47,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000015,H,5469,2025,1,329,14478.88,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000023,H,5469,2025,1,329,386.95,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
4300001,D,5469,2025,1,329,177.04,6,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080026,D,5469,2025,1,329,-5.49,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080014,D,5469,2025,1,329,-8.89,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000014,H,5469,2025,1,329,18045.12,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000011,H,5469,2025,1,329,4307.35,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000030,D,5469,2025,1,329,1444.63,15,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000011,D,5469,2025,1,329,3253.1799999999994,7,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
5700200,H,5469,2025,1,329,78533.83999999998,29,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
4101102,D,5469,2025,1,329,1.03,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7080020,D,5469,2025,1,329,-4.14,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000060,H,5469,2025,1,329,29.7,2,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
7000021,H,5469,2025,1,329,507.53,1,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000023,D,5469,2025,1,329,3638.94,7,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000021,D,5469,2025,1,329,320.86,7,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
6000015,D,5469,2025,1,329,11077.68,7,SUPERBERMEO 2022 SLU,B10560571,5830,Bizkaia,"Calle Señorio de Bizkaia, 28",,SUPERBERMEO 2022 SLU
