CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080011,D,5576,2025,1,309,-0.98,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000040,D,5576,2025,1,309,35.86,3,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000021,D,5576,2025,1,309,240.27999999999997,4,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7080015,D,5576,2025,1,309,-11.77,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000020,H,5576,2025,1,309,1529.2,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000024,D,5576,2025,1,309,880.12,6,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000020,D,5576,2025,1,309,1183.3600000000001,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000014,D,5576,2025,1,309,4459.9400000000005,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
4770000,H,5576,2025,1,309,3869.64,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7080014,D,5576,2025,1,309,-17.99,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000015,H,5576,2025,1,309,6507.27,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000026,D,5576,2025,1,309,422.12,6,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000022,D,5576,2025,1,309,1799.93,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000024,H,5576,2025,1,309,717.83,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000023,H,5576,2025,1,309,4625.73,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000022,H,5576,2025,1,309,2091.2,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000010,H,5576,2025,1,309,8403.99,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000040,H,5576,2025,1,309,37.19,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000014,H,5576,2025,1,309,6316.99,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000030,D,5576,2025,1,309,495.19,13,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000023,D,5576,2025,1,309,3538.89,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000015,D,5576,2025,1,309,5154.099999999999,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000010,D,5576,2025,1,309,6158.54,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
4850001,D,5576,2025,1,309,37202.14,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7080010,D,5576,2025,1,309,-1.4,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000030,H,5576,2025,1,309,987.6600000000001,5,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000026,H,5576,2025,1,309,520.09,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000021,H,5576,2025,1,309,153.76,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6080015,D,5576,2025,1,309,-126.05000000000001,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6000011,D,5576,2025,1,309,1280.07,7,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
4850002,H,5576,2025,1,309,35.62,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
7000011,H,5576,2025,1,309,1438.11,1,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
6590002,D,5576,2025,1,309,-16.95,28,MAR REAL ESTATES SLU,B53953873,5983,Almería,"Calle Viena, 1",,MAR REAL ESTATES SLU
