CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080022,D,4897,2025,1,230,-4.32,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7080011,D,4897,2025,1,230,-14.03,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7000014,H,4897,2025,1,230,27939.59,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
6000024,D,4897,2025,1,230,5574.03,8,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
4770000,H,4897,2025,1,230,11017.78,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7000040,H,4897,2025,1,230,227.27,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7000024,H,4897,2025,1,230,6329.68,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7000023,H,4897,2025,1,230,5872.13,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
6090100,D,4897,2025,1,230,202.45,2,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
6000011,D,4897,2025,1,230,5488.78,8,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
4850002,H,4897,2025,1,230,76.49,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7590006,H,4897,2025,1,230,125.8,2,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7080015,D,4897,2025,1,230,-17.56,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
7000015,H,4897,2025,1,230,24793.96,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
6080030,D,4897,2025,1,230,-7.0,1,"ANER ENERGIA, S.L.",B39749379,5008,Santander,Calle de la Ronda 32,,"ANER ENERGIA, S.L."
