CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080020,D,5517,2025,1,229,-1.95,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080014,D,5517,2025,1,229,-35.15,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000015,D,5517,2025,1,229,10044.41,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
4850002,H,5517,2025,1,229,225.26,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080015,D,5517,2025,1,229,-29.66,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000020,H,5517,2025,1,229,2531.64,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000010,H,5517,2025,1,229,10194.73,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6090100,D,5517,2025,1,229,106.36,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000026,D,5517,2025,1,229,247.5,6,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000010,D,5517,2025,1,229,7310.42,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
4850001,D,5517,2025,1,229,65821.52,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
4770000,H,5517,2025,1,229,6237.93,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080024,D,5517,2025,1,229,-5.21,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6214002,D,5517,2025,1,229,150.0,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6214000,D,5517,2025,1,229,741.97,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080023,D,5517,2025,1,229,-6.73,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000023,H,5517,2025,1,229,34.8,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000023,D,5517,2025,1,229,3346.6899999999996,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080023,D,5517,2025,1,229,-2.15,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000060,H,5517,2025,1,229,26.240000000000002,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000022,H,5517,2025,1,229,5968.64,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000021,H,5517,2025,1,229,324.43,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000011,H,5517,2025,1,229,3029.68,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6090101,D,5517,2025,1,229,1703.1500000000005,10,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080020,D,5517,2025,1,229,-48.73,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080015,D,5517,2025,1,229,-261.99,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000030,D,5517,2025,1,229,953.68,20,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000014,D,5517,2025,1,229,8450.34,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000024,H,5517,2025,1,229,3420.4,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000023,H,5517,2025,1,229,6991.95,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6810000,D,5517,2025,1,229,14012.900000000014,168,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080022,D,5517,2025,1,229,-856.5799999999999,3,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6020099,D,5517,2025,1,229,34.8,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000011,D,5517,2025,1,229,2099.72,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080040,D,5517,2025,1,229,-8.26,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080011,D,5517,2025,1,229,-3.05,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080010,D,5517,2025,1,229,-73.56,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000014,H,5517,2025,1,229,13129.51,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6090001,D,5517,2025,1,229,674.6300000000001,5,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080014,D,5517,2025,1,229,-6.6,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000021,D,5517,2025,1,229,294.72,6,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000020,D,5517,2025,1,229,1695.02,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000026,H,5517,2025,1,229,501.63,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000015,H,5517,2025,1,229,11702.29,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6590002,D,5517,2025,1,229,-43.98999999999999,30,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6236024,D,5517,2025,1,229,693.56,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000024,D,5517,2025,1,229,3441.7699999999995,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000022,D,5517,2025,1,229,5897.1900000000005,10,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080030,D,5517,2025,1,229,-2.72,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7080022,D,5517,2025,1,229,-37.35,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000040,H,5517,2025,1,229,16.53,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
7000030,H,5517,2025,1,229,1719.7199999999998,5,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6230004,D,5517,2025,1,229,597.95,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6090103,D,5517,2025,1,229,2145.5299999999997,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6080024,D,5517,2025,1,229,-58.9,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
6000040,D,5517,2025,1,229,7.99,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,5918,Gijon,Camino Cabueñes 24,,"EXPRESS CREAN Y RUBIO, SL"
