CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080015,D,5680,2025,1,305,-28.91,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6214002,D,5680,2025,1,305,150.0,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6090103,D,5680,2025,1,305,3106.32,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000014,D,5680,2025,1,305,12801.089999999998,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000011,D,5680,2025,1,305,4098.44,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000010,D,5680,2025,1,305,8653.25,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
5700200,H,5680,2025,1,305,94569.83000000002,30,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4850002,H,5680,2025,1,305,174.02,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4720000,D,5680,2025,1,305,6252.260000000001,45,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4430001,D,5680,2025,1,305,3.08,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080060,D,5680,2025,1,305,-8.26,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080020,D,5680,2025,1,305,-1.81,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6236024,D,5680,2025,1,305,915.23,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6214000,D,5680,2025,1,305,1071.24,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6080014,D,5680,2025,1,305,-38.64,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000060,D,5680,2025,1,305,52.24,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000022,D,5680,2025,1,305,10460.66,13,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4770000,H,5680,2025,1,305,8883.039999999999,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4101103,H,5680,2025,1,305,222.58,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080030,D,5680,2025,1,305,-9.05,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080022,D,5680,2025,1,305,-11.96,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080014,D,5680,2025,1,305,-31.35,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000015,H,5680,2025,1,305,21003.58,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000010,H,5680,2025,1,305,11216.55,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6420000,D,5680,2025,1,305,1419.48,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6080022,D,5680,2025,1,305,-1199.6399999999999,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000023,H,5680,2025,1,305,111.45,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000021,D,5680,2025,1,305,134.48,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000015,D,5680,2025,1,305,15372.829999999998,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4000004,H,5680,2025,1,305,2019.72,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
2804000,H,5680,2025,1,305,10500.0,12,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7590010,H,5680,2025,1,305,55.53,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080021,D,5680,2025,1,305,-19.0,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000022,H,5680,2025,1,305,10568.07,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000014,H,5680,2025,1,305,20134.12,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6590002,D,5680,2025,1,305,2.0299999999999994,18,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6230004,D,5680,2025,1,305,597.95,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
5790570,D,5680,2025,1,305,39410.219999999994,30,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4650000,H,5680,2025,1,305,6796.5,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4300001,D,5680,2025,1,305,289.77,6,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4000001,H,5680,2025,1,305,51132.08999999999,29,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000011,H,5680,2025,1,305,5798.08,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000040,D,5680,2025,1,305,186.65999999999997,7,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000024,D,5680,2025,1,305,4027.5000000000005,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4850002,D,5680,2025,1,305,174.02,17,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4751000,H,5680,2025,1,305,509.97,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4101102,D,5680,2025,1,305,1.6400000000000001,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4000002,H,5680,2025,1,305,8275.569999999994,16,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7550000,H,5680,2025,1,305,173.32,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080023,D,5680,2025,1,305,-10.32,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080011,D,5680,2025,1,305,-4.12,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080010,D,5680,2025,1,305,-24.73,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000030,H,5680,2025,1,305,1734.1200000000001,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000024,H,5680,2025,1,305,4951.07,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000021,H,5680,2025,1,305,483.23,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6804000,D,5680,2025,1,305,10500.0,12,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6400000,D,5680,2025,1,305,7591.9,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6090101,D,5680,2025,1,305,1760.1000000000001,10,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6090001,D,5680,2025,1,305,653.4799999999999,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000020,D,5680,2025,1,305,2296.56,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4101103,D,5680,2025,1,305,-2832.2999999999997,12,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000040,H,5680,2025,1,305,199.96,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6090100,D,5680,2025,1,305,152.56,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6080015,D,5680,2025,1,305,-72.42,4,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6020099,D,5680,2025,1,305,111.45,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000023,D,5680,2025,1,305,2670.9899999999993,8,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4850001,H,5680,2025,1,305,94743.85000000003,30,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4850001,D,5680,2025,1,305,94743.85,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4760000,H,5680,2025,1,305,1704.91,2,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
4430002,D,5680,2025,1,305,1425.7600000000002,30,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7080024,D,5680,2025,1,305,-6.2,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000060,H,5680,2025,1,305,540.8900000000001,5,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000026,H,5680,2025,1,305,1135.32,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000023,H,5680,2025,1,305,4808.72,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
7000020,H,5680,2025,1,305,3280.45,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6402000,D,5680,2025,1,305,173.32,1,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
6000030,D,5680,2025,1,305,867.3799999999999,19,VIRGEN DE COROMOTO SL,B56800931,6156,Granada,"Camino de la Ronda, 80",,VIRGEN DE COROMOTO SL
