CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000060,H,5565,2025,1,288,3.29,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
7000040,H,5565,2025,1,288,33.06,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
7000021,H,5565,2025,1,288,39.8,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
6000015,D,5565,2025,1,288,3550.6000000000004,7,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
7000024,H,5565,2025,1,288,917.58,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
6080020,D,5565,2025,1,288,-2.44,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
6000022,D,5565,2025,1,288,979.65,7,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
6000011,D,5565,2025,1,288,981.2500000000001,7,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
4850002,H,5565,2025,1,288,87.0,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
7080020,D,5565,2025,1,288,-2.5,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
7000026,H,5565,2025,1,288,14.95,1,SANCHEZ STEINMETZ INVERSIONES SL,B72783533,5971,Illes Balears,"Carrer Bonança, 6",,SANCHEZ STEINMETZ INVERSIONES SL
