CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6090001,D,5653,2025,1,302,305.2,5,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6000020,D,5653,2025,1,302,1189.4699999999998,8,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6000010,D,5653,2025,1,302,8146.950000000001,8,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
5700200,H,5653,2025,1,302,34606.92,21,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4101100,D,5653,2025,1,302,318.20000000000005,12,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
2806000,H,5653,2025,1,302,1042.41,12,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7590010,H,5653,2025,1,302,155.44,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6230004,D,5653,2025,1,302,597.95,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6090103,D,5653,2025,1,302,1638.09,2,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6000024,D,5653,2025,1,302,1602.92,8,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7000030,H,5653,2025,1,302,1427.98,5,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7000026,H,5653,2025,1,302,364.53,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7000024,H,5653,2025,1,302,2368.89,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7000010,H,5653,2025,1,302,11454.52,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6816000,D,5653,2025,1,302,3351.7899999999995,48,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
5790570,D,5653,2025,1,302,10698.300000000003,21,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4850001,H,5653,2025,1,302,60581.770000000004,31,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4000004,H,5653,2025,1,302,1548.46,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4000001,H,5653,2025,1,302,39971.82,23,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
7080010,D,5653,2025,1,302,-9.07,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6214002,D,5653,2025,1,302,150.0,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6214000,D,5653,2025,1,302,681.77,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6090101,D,5653,2025,1,302,1013.98,10,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6080015,D,5653,2025,1,302,-50.15,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
5700200,D,5653,2025,1,302,60560.01,31,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4720000,D,5653,2025,1,302,4712.799999999999,39,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4430002,D,5653,2025,1,302,132.95000000000002,14,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4300001,D,5653,2025,1,302,259.51000000000005,5,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4101103,D,5653,2025,1,302,-205.91000000000003,9,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6817000,D,5653,2025,1,302,1042.41,12,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6810000,D,5653,2025,1,302,495.47000000000014,24,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6590002,D,5653,2025,1,302,-11.139999999999997,21,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6090100,D,5653,2025,1,302,104.25,2,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6020099,D,5653,2025,1,302,144.4,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6000023,H,5653,2025,1,302,19.44,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
6000023,D,5653,2025,1,302,2303.71,8,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
5790572,D,5653,2025,1,302,18467.350000000002,21,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4850002,D,5653,2025,1,302,21.759999999999998,5,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
4850001,D,5653,2025,1,302,60581.77,1,AQIBIA INTERNATIONAL SL,B66571704,6080,Terrassa,"Carretera Rellinars, 204",,AQIBIA INTERNATIONAL SL
