CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000015,H,5315,2025,1,267,20510.96,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6090101,D,5315,2025,1,267,328.60999999999996,3,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000011,D,5315,2025,1,267,3670.7200000000003,8,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000010,D,5315,2025,1,267,9028.09,8,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4850002,D,5315,2025,1,267,66.12,16,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4770000,H,5315,2025,1,267,9849.08,2,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4720000,D,5315,2025,1,267,6268.900000000004,34,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4650000,H,5315,2025,1,267,7491.26,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000026,H,5315,2025,1,267,436.8,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6400000,D,5315,2025,1,267,8394.64,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000026,D,5315,2025,1,267,262.42999999999995,7,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000023,H,5315,2025,1,267,62.76,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000022,D,5315,2025,1,267,5629.07,9,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000021,D,5315,2025,1,267,276.82,7,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
5700200,D,5315,2025,1,267,104202.26,31,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4760000,H,5315,2025,1,267,2793.41,2,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4300001,D,5315,2025,1,267,366.8,6,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4101103,H,5315,2025,1,267,229.60999999999999,5,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
2816000,H,5315,2025,1,267,279.21999999999997,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
2814000,H,5315,2025,1,267,115.38000000000007,24,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
2805000,H,5315,2025,1,267,18000.0,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000022,H,5315,2025,1,267,10901.73,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000021,H,5315,2025,1,267,292.46,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6800000,D,5315,2025,1,267,18000.0,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6090100,D,5315,2025,1,267,137.06,2,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6090001,D,5315,2025,1,267,650.63,5,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000030,D,5315,2025,1,267,1154.42,16,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000024,D,5315,2025,1,267,2837.23,8,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7080011,D,5315,2025,1,267,-8.26,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000023,H,5315,2025,1,267,3537.78,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000010,H,5315,2025,1,267,18920.03,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6420000,D,5315,2025,1,267,2325.7,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6236024,D,5315,2025,1,267,1359.52,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6214002,D,5315,2025,1,267,150.0,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6020099,D,5315,2025,1,267,167.15,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000023,D,5315,2025,1,267,1169.52,8,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
5790572,D,5315,2025,1,267,60670.649999999994,30,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7080022,D,5315,2025,1,267,-2.19,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000011,H,5315,2025,1,267,5119.69,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6812000,D,5315,2025,1,267,622.7399999999999,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6230004,D,5315,2025,1,267,570.12,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000040,D,5315,2025,1,267,19.88,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000020,D,5315,2025,1,267,1962.3500000000004,8,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6000015,D,5315,2025,1,267,16161.210000000003,9,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4101102,D,5315,2025,1,267,93.66,6,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
2810000,H,5315,2025,1,267,273.42999999999995,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000040,H,5315,2025,1,267,20.66,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000020,H,5315,2025,1,267,2898.05,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7000014,H,5315,2025,1,267,20711.65,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6810000,D,5315,2025,1,267,668.0300000000002,48,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6214000,D,5315,2025,1,267,1179.72,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
6080014,D,5315,2025,1,267,-28.31,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
5700200,H,5315,2025,1,267,98952.29,30,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4850002,H,5315,2025,1,267,66.12,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4000002,H,5315,2025,1,267,5730.4,12,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
4000001,H,5315,2025,1,267,54297.72000000001,22,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
7590010,H,5315,2025,1,267,113.38,1,DERMINPER SLU,B16892648,5660,Badalona,Francesc layret 128,,DERMINPER SLU
