CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6815000,D,4672,2025,1,208,1629.2800000000002,24,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6811000,H,4672,2025,1,208,208.12,12,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6230004,D,4672,2025,1,208,570.12,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6214002,D,4672,2025,1,208,150.0,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6214001,D,4672,2025,1,208,4019.0,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6020099,D,4672,2025,1,208,110.3,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6000023,D,4672,2025,1,208,4862.5199999999995,8,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
2815000,H,4672,2025,1,208,1629.28,24,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7080023,D,4672,2025,1,208,-0.81,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7080011,D,4672,2025,1,208,-25.96,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7000023,H,4672,2025,1,208,8596.94,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7000020,H,4672,2025,1,208,4265.31,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7000014,H,4672,2025,1,208,24817.34,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
7000010,H,4672,2025,1,208,22246.05,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6420000,D,4672,2025,1,208,3611.62,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6090101,D,4672,2025,1,208,2506.33,10,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6000023,H,4672,2025,1,208,110.3,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
4720000,D,4672,2025,1,208,8827.909999999998,47,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
4101103,H,4672,2025,1,208,561.1,5,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
4101102,D,4672,2025,1,208,253.3,18,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6810000,D,4672,2025,1,208,2237.33,48,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6400001,D,4672,2025,1,208,386.48,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
6214000,D,4672,2025,1,208,1413.67,1,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
5790572,D,4672,2025,1,208,69523.5,25,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
4000004,H,4672,2025,1,208,7263.379999999999,2,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
4000002,H,4672,2025,1,208,6345.259999999999,16,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
2810000,H,4672,2025,1,208,83.34,12,"MICORVA SUPERMERCATS, S.L.",B16547770,4745,Mallorca,Gremi Tintorers 4,,"MICORVA SUPERMERCATS, S.L."
