CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000022,H,8181,2025,1,230,5757.1,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
6080020,D,8181,2025,1,230,-25.2,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
4770000,H,8181,2025,1,230,6859.37,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
7080010,D,8181,2025,1,230,-6.25,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
7000020,H,8181,2025,1,230,3406.1,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
6000015,D,8181,2025,1,230,14524.79,8,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
4850002,H,8181,2025,1,230,144.04,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
7590006,H,8181,2025,1,230,125.8,2,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
7080011,D,8181,2025,1,230,-28.39,1,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
6090101,D,8181,2025,1,230,2304.1299999999997,10,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
6090001,D,8181,2025,1,230,534.75,5,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
6000040,D,8181,2025,1,230,71.18,6,"ANER ENERGIA, S.L.",B39749379,00RG,Santander,Lierganes,,"ANER ENERGIA, S.L."
