CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,4960,2025,1,245,-7.48,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7080011,D,4960,2025,1,245,-7.52,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000040,H,4960,2025,1,245,266.94,2,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000030,H,4960,2025,1,245,3653.76,5,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000026,H,4960,2025,1,245,261.0,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6236024,D,4960,2025,1,245,1468.14,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000023,D,4960,2025,1,245,5415.71,8,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000024,H,4960,2025,1,245,5577.8,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000011,H,4960,2025,1,245,6970.97,2,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000010,H,4960,2025,1,245,19278.7,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6230004,D,4960,2025,1,245,589.37,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6090101,D,4960,2025,1,245,732.7600000000001,9,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6090100,D,4960,2025,1,245,136.43,2,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000040,D,4960,2025,1,245,249.99,9,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000024,D,4960,2025,1,245,4099.42,8,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000023,H,4960,2025,1,245,485.87,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000021,D,4960,2025,1,245,136.97,5,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
4850002,H,4960,2025,1,245,59.31,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7080015,D,4960,2025,1,245,-7.43,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6080015,D,4960,2025,1,245,-176.64000000000001,6,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7080010,D,4960,2025,1,245,-11.49,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000023,H,4960,2025,1,245,7576.4,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000015,H,4960,2025,1,245,27990.63,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7000014,H,4960,2025,1,245,24353.94,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6590002,D,4960,2025,1,245,21.019999999999996,24,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000015,D,4960,2025,1,245,16783.95,9,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6214000,D,4960,2025,1,245,730.62,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000020,D,4960,2025,1,245,1764.81,8,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
6000010,D,4960,2025,1,245,10102.04,8,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
4850001,D,4960,2025,1,245,115701.04,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
7590010,H,4960,2025,1,245,18.96,1,SUPERMERCADO JOHAL S.L.,B55353718,5082,Lloret de Mar,Lopez Mateo 11,,SUPERMERCADO JOHAL S.L.
