CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7590010,H,5468,2025,1,233,94.79,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080010,D,5468,2025,1,233,-2.35,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6090103,D,5468,2025,1,233,2422.35,2,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6090101,D,5468,2025,1,233,1258.9000000000003,10,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6080015,D,5468,2025,1,233,-112.27000000000001,7,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000014,D,5468,2025,1,233,9889.880000000001,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
4850002,H,5468,2025,1,233,39.21,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
4850001,D,5468,2025,1,233,74749.35,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080023,D,5468,2025,1,233,-2.32,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080014,D,5468,2025,1,233,-11.88,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000030,H,5468,2025,1,233,1581.5900000000001,4,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6090100,D,5468,2025,1,233,120.82000000000001,2,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000021,D,5468,2025,1,233,295.73,5,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080015,D,5468,2025,1,233,-9.46,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000011,H,5468,2025,1,233,4114.98,2,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6590002,D,5468,2025,1,233,3.8900000000000023,28,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000024,D,5468,2025,1,233,2743.44,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000010,D,5468,2025,1,233,9878.140000000001,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080011,D,5468,2025,1,233,-5.11,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000020,H,5468,2025,1,233,2149.88,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6020099,D,5468,2025,1,233,152.42,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000011,D,5468,2025,1,233,3224.3900000000003,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000015,D,5468,2025,1,233,11545.36,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000026,H,5468,2025,1,233,675.05,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000024,H,5468,2025,1,233,3258.61,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000022,H,5468,2025,1,233,5398.21,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000015,H,5468,2025,1,233,15165.27,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6816000,D,5468,2025,1,233,600.19,12,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6810000,D,5468,2025,1,233,1175.6,24,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000023,H,5468,2025,1,233,152.42,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000022,D,5468,2025,1,233,4179.259999999999,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
4770000,H,5468,2025,1,233,7150.11,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7080030,D,5468,2025,1,233,-3.91,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000040,H,5468,2025,1,233,95.04,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6230004,D,5468,2025,1,233,597.95,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6214000,D,5468,2025,1,233,844.51,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000040,D,5468,2025,1,233,91.23,5,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000020,D,5468,2025,1,233,1252.43,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000023,H,5468,2025,1,233,7517.42,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000021,H,5468,2025,1,233,455.15,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000014,H,5468,2025,1,233,15631.82,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
7000010,H,5468,2025,1,233,11552.04,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6236024,D,5468,2025,1,233,48.32,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6214002,D,5468,2025,1,233,150.0,1,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6090001,D,5468,2025,1,233,492.47999999999996,3,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000030,D,5468,2025,1,233,1174.2,16,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000026,D,5468,2025,1,233,491.53,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
6000023,D,5468,2025,1,233,3675.3000000000006,8,"GARCIA CALVO EXPRESS, S.L.",B09589623,5825,Oviedo,PLAZA PAZ 8,,"GARCIA CALVO EXPRESS, S.L."
