CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,5533,2025,1,277,-7.55,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080023,D,5533,2025,1,277,-43.59,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080022,D,5533,2025,1,277,-6.44,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000015,H,5533,2025,1,277,15571.94,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6214000,D,5533,2025,1,277,851.91,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6090103,D,5533,2025,1,277,704.96,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6080010,D,5533,2025,1,277,-17.32,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000024,D,5533,2025,1,277,2282.0299999999997,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000015,D,5533,2025,1,277,13189.079999999998,8,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4101102,D,5533,2025,1,277,20.900000000000002,5,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000022,H,5533,2025,1,277,5531.6,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6090101,D,5533,2025,1,277,1517.6000000000001,10,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6080020,D,5533,2025,1,277,-13.03,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6080014,D,5533,2025,1,277,-305.03,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6020099,D,5533,2025,1,277,101.64,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000022,D,5533,2025,1,277,5001.79,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000011,D,5533,2025,1,277,4640.379999999999,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
5700200,H,5533,2025,1,277,39422.0,16,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4850002,D,5533,2025,1,277,803.8299999999999,20,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4300001,D,5533,2025,1,277,177.76999999999998,6,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080010,D,5533,2025,1,277,-501.62,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000023,H,5533,2025,1,277,5063.51,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6810000,D,5533,2025,1,277,582.3899999999998,24,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6236024,D,5533,2025,1,277,483.1,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6214001,D,5533,2025,1,277,1757.8,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6080030,D,5533,2025,1,277,-2.18,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000030,D,5533,2025,1,277,1389.3700000000001,20,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000023,H,5533,2025,1,277,101.64,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
5700200,D,5533,2025,1,277,75473.37,31,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4000001,H,5533,2025,1,277,49577.64,30,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080015,D,5533,2025,1,277,-59.27,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080011,D,5533,2025,1,277,-13.09,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000060,H,5533,2025,1,277,11.55,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000024,H,5533,2025,1,277,3213.14,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000021,H,5533,2025,1,277,604.45,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6214002,D,5533,2025,1,277,150.0,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000021,D,5533,2025,1,277,386.25999999999993,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
5790572,D,5533,2025,1,277,18028.62,16,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4101100,D,5533,2025,1,277,343.1,12,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080030,D,5533,2025,1,277,-0.25,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000030,H,5533,2025,1,277,2229.01,5,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000026,H,5533,2025,1,277,292.26,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000014,H,5533,2025,1,277,17556.03,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000011,H,5533,2025,1,277,5492.82,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6230004,D,5533,2025,1,277,597.95,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6090100,D,5533,2025,1,277,128.48000000000002,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6090001,D,5533,2025,1,277,586.3,5,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6080015,D,5533,2025,1,277,-227.60000000000002,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000026,D,5533,2025,1,277,263.94,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4770000,H,5533,2025,1,277,7328.25,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4101103,D,5533,2025,1,277,-125.13999999999999,8,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4000002,H,5533,2025,1,277,4971.060000000001,15,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080014,D,5533,2025,1,277,-40.03,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000010,H,5533,2025,1,277,10176.13,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6420000,D,5533,2025,1,277,1747.69,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000020,D,5533,2025,1,277,2154.37,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4650000,H,5533,2025,1,277,6070.2,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
2817000,H,5533,2025,1,277,582.3899999999998,24,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7590010,H,5533,2025,1,277,37.92,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7080020,D,5533,2025,1,277,-11.69,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000040,H,5533,2025,1,277,126.36,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6590002,D,5533,2025,1,277,-14.400000000000002,16,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6402000,D,5533,2025,1,277,325.28,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000040,D,5533,2025,1,277,111.5,6,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000014,D,5533,2025,1,277,11494.52,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000010,D,5533,2025,1,277,9889.22,7,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4850002,H,5533,2025,1,277,803.83,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4850001,H,5533,2025,1,277,76277.20000000001,31,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4850001,D,5533,2025,1,277,76277.2,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4720000,D,5533,2025,1,277,6301.510000000002,46,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4101103,H,5533,2025,1,277,131.89,5,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4000004,H,5533,2025,1,277,3881.27,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7550000,H,5533,2025,1,277,325.28,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
7000020,H,5533,2025,1,277,2967.81,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6400000,D,5533,2025,1,277,7215.36,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
6000023,D,5533,2025,1,277,1157.3400000000001,8,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
5790570,D,5533,2025,1,277,20710.880000000005,16,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4760000,H,5533,2025,1,277,2099.2,2,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4751000,H,5533,2025,1,277,793.65,1,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
4430002,D,5533,2025,1,277,288.44,12,SUPERFARI SL,B72834138,5936,Bilbao,"Plaza Mikel Deuna, 1",,SUPERFARI SL
