CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6815000,D,4533,2025,1,209,519.1499999999999,24,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6214002,D,4533,2025,1,209,150.0,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6080026,D,4533,2025,1,209,-54.6,4,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6000022,H,4533,2025,1,209,98.39,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
4770000,H,4533,2025,1,209,9112.19,2,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
4000001,H,4533,2025,1,209,45662.19999999999,30,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6090100,D,4533,2025,1,209,131.34,2,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6000020,D,4533,2025,1,209,2188.5,8,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
5790570,D,4533,2025,1,209,32398.85,30,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
4850002,H,4533,2025,1,209,89.56,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
2813000,H,4533,2025,1,209,1555.0299999999997,26,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
7080030,D,4533,2025,1,209,-2.48,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
7000011,H,4533,2025,1,209,5782.47,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6590002,D,4533,2025,1,209,-4.7700000000000005,28,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6090101,D,4533,2025,1,209,1823.6000000000001,10,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6000040,D,4533,2025,1,209,71.45,4,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6000014,D,4533,2025,1,209,10818.369999999999,8,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
5790572,D,4533,2025,1,209,56454.59999999999,30,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
5700200,D,4533,2025,1,209,90311.97000000003,30,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
4000004,H,4533,2025,1,209,1918.21,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
2815000,H,4533,2025,1,209,1463.7199999999987,84,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
7000030,H,4533,2025,1,209,1732.0699999999997,5,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
7000024,H,4533,2025,1,209,3029.02,1,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
6816000,D,4533,2025,1,209,766.48,24,"GINGER CANDY, SL",B87656344,4554,Madrid,"Plaza del Ángel, 11",43,"GINGER CANDY, SL"
